epoch,model,dataset,seed,split_seed,layer,activation_entropy,train_loss,val_loss,train_accuracy,val_accuracy,val_generalization_gap
1,cnn,FashionMNIST,2,42,relu1,3.3358981429107075,0.5625564045143128,0.37715553317070005,0.80076,0.8642,-0.06343999999999994
1,cnn,FashionMNIST,2,42,relu2,3.041059366025786,0.5625564045143128,0.37715553317070005,0.80076,0.8642,-0.06343999999999994
1,cnn,FashionMNIST,2,42,relu3,2.885060317750887,0.5625564045143128,0.37715553317070005,0.80076,0.8642,-0.06343999999999994
2,cnn,FashionMNIST,2,42,relu1,3.404171036523012,0.35347896062850953,0.324989350605011,0.87398,0.8798,-0.005820000000000047
2,cnn,FashionMNIST,2,42,relu2,2.833351671130167,0.35347896062850953,0.324989350605011,0.87398,0.8798,-0.005820000000000047
2,cnn,FashionMNIST,2,42,relu3,2.7029610498754573,0.35347896062850953,0.324989350605011,0.87398,0.8798,-0.005820000000000047
3,cnn,FashionMNIST,2,42,relu1,3.3645627258535535,0.30257687690734864,0.2852331652879715,0.89244,0.8948,-0.0023600000000000287
3,cnn,FashionMNIST,2,42,relu2,2.5450727350581612,0.30257687690734864,0.2852331652879715,0.89244,0.8948,-0.0023600000000000287
3,cnn,FashionMNIST,2,42,relu3,2.6081255302775666,0.30257687690734864,0.2852331652879715,0.89244,0.8948,-0.0023600000000000287
4,cnn,FashionMNIST,2,42,relu1,3.2916195890382207,0.2705348692512512,0.2740797351360321,0.90266,0.9001,0.0025600000000000067
4,cnn,FashionMNIST,2,42,relu2,2.500341652353696,0.2705348692512512,0.2740797351360321,0.90266,0.9001,0.0025600000000000067
4,cnn,FashionMNIST,2,42,relu3,2.5447714101482775,0.2705348692512512,0.2740797351360321,0.90266,0.9001,0.0025600000000000067
5,cnn,FashionMNIST,2,42,relu1,3.2563860630166404,0.24752324919700622,0.24966329103708268,0.91,0.9104,-0.00039999999999995595
5,cnn,FashionMNIST,2,42,relu2,2.184284050840661,0.24752324919700622,0.24966329103708268,0.91,0.9104,-0.00039999999999995595
5,cnn,FashionMNIST,2,42,relu3,2.4212484751773116,0.24752324919700622,0.24966329103708268,0.91,0.9104,-0.00039999999999995595
6,cnn,FashionMNIST,2,42,relu1,3.199406237312245,0.22841369717597962,0.2544323746442795,0.91696,0.9071,0.00985999999999998
6,cnn,FashionMNIST,2,42,relu2,2.094899734832796,0.22841369717597962,0.2544323746442795,0.91696,0.9071,0.00985999999999998
6,cnn,FashionMNIST,2,42,relu3,2.345679519840779,0.22841369717597962,0.2544323746442795,0.91696,0.9071,0.00985999999999998
7,cnn,FashionMNIST,2,42,relu1,3.241890705894349,0.2114289506673813,0.24347148028612137,0.92304,0.9104,0.012639999999999985
7,cnn,FashionMNIST,2,42,relu2,2.174070851138543,0.2114289506673813,0.24347148028612137,0.92304,0.9104,0.012639999999999985
7,cnn,FashionMNIST,2,42,relu3,2.404988600904743,0.2114289506673813,0.24347148028612137,0.92304,0.9104,0.012639999999999985
8,cnn,FashionMNIST,2,42,relu1,3.2336920309838977,0.1979122778081894,0.23953083410263062,0.9277,0.9113,0.01639999999999997
8,cnn,FashionMNIST,2,42,relu2,2.0023454353526837,0.1979122778081894,0.23953083410263062,0.9277,0.9113,0.01639999999999997
8,cnn,FashionMNIST,2,42,relu3,2.295368943535203,0.1979122778081894,0.23953083410263062,0.9277,0.9113,0.01639999999999997
9,cnn,FashionMNIST,2,42,relu1,3.2126477234458286,0.1834760186815262,0.23499937368631363,0.9326,0.9162,0.01639999999999997
9,cnn,FashionMNIST,2,42,relu2,2.0624380217404585,0.1834760186815262,0.23499937368631363,0.9326,0.9162,0.01639999999999997
9,cnn,FashionMNIST,2,42,relu3,2.364623071067096,0.1834760186815262,0.23499937368631363,0.9326,0.9162,0.01639999999999997
10,cnn,FashionMNIST,2,42,relu1,3.1561622871659902,0.17238324141979217,0.24166802299022674,0.93642,0.912,0.024419999999999997
10,cnn,FashionMNIST,2,42,relu2,1.9057631779814475,0.17238324141979217,0.24166802299022674,0.93642,0.912,0.024419999999999997
10,cnn,FashionMNIST,2,42,relu3,2.364674919612646,0.17238324141979217,0.24166802299022674,0.93642,0.912,0.024419999999999997
11,cnn,FashionMNIST,2,42,relu1,3.1223654988308804,0.16177896197795869,0.23130944255590438,0.94106,0.9187,0.022360000000000047
11,cnn,FashionMNIST,2,42,relu2,1.948180889273611,0.16177896197795869,0.23130944255590438,0.94106,0.9187,0.022360000000000047
11,cnn,FashionMNIST,2,42,relu3,2.314096406050972,0.16177896197795869,0.23130944255590438,0.94106,0.9187,0.022360000000000047
12,cnn,FashionMNIST,2,42,relu1,3.1896696854527207,0.1503662507581711,0.23255425910949706,0.9439,0.9147,0.029200000000000004
12,cnn,FashionMNIST,2,42,relu2,1.7620495316459222,0.1503662507581711,0.23255425910949706,0.9439,0.9147,0.029200000000000004
12,cnn,FashionMNIST,2,42,relu3,2.203060758204568,0.1503662507581711,0.23255425910949706,0.9439,0.9147,0.029200000000000004
13,cnn,FashionMNIST,2,42,relu1,3.0862308856002105,0.13871896165847777,0.23226975965499877,0.94934,0.9173,0.03203999999999996
13,cnn,FashionMNIST,2,42,relu2,1.7096694370438341,0.13871896165847777,0.23226975965499877,0.94934,0.9173,0.03203999999999996
13,cnn,FashionMNIST,2,42,relu3,2.227430796220323,0.13871896165847777,0.23226975965499877,0.94934,0.9173,0.03203999999999996
14,cnn,FashionMNIST,2,42,relu1,3.0470989613106063,0.12729223217248917,0.2434117271065712,0.95316,0.9118,0.04135999999999995
14,cnn,FashionMNIST,2,42,relu2,1.7231380368834972,0.12729223217248917,0.2434117271065712,0.95316,0.9118,0.04135999999999995
14,cnn,FashionMNIST,2,42,relu3,2.2374347494310745,0.12729223217248917,0.2434117271065712,0.95316,0.9118,0.04135999999999995
15,cnn,FashionMNIST,2,42,relu1,3.088696424906259,0.11998501622200013,0.24988759236335753,0.95544,0.9147,0.04074
15,cnn,FashionMNIST,2,42,relu2,1.7697515729923374,0.11998501622200013,0.24988759236335753,0.95544,0.9147,0.04074
15,cnn,FashionMNIST,2,42,relu3,2.283968844684997,0.11998501622200013,0.24988759236335753,0.95544,0.9147,0.04074
16,cnn,FashionMNIST,2,42,relu1,3.117345806598662,0.10823175578594207,0.2618716893672943,0.96004,0.9112,0.048839999999999995
16,cnn,FashionMNIST,2,42,relu2,1.7705446687167743,0.10823175578594207,0.2618716893672943,0.96004,0.9112,0.048839999999999995
16,cnn,FashionMNIST,2,42,relu3,2.2692089380672353,0.10823175578594207,0.2618716893672943,0.96004,0.9112,0.048839999999999995
17,cnn,FashionMNIST,2,42,relu1,3.07777720763833,0.09995244846343994,0.2487680752515793,0.96284,0.9161,0.046740000000000004
17,cnn,FashionMNIST,2,42,relu2,1.6715095802998332,0.09995244846343994,0.2487680752515793,0.96284,0.9161,0.046740000000000004
17,cnn,FashionMNIST,2,42,relu3,2.234183439921526,0.09995244846343994,0.2487680752515793,0.96284,0.9161,0.046740000000000004
18,cnn,FashionMNIST,2,42,relu1,3.0178640735778273,0.09009980679512024,0.26707828555107116,0.96704,0.9142,0.05284
18,cnn,FashionMNIST,2,42,relu2,1.7201476497442347,0.09009980679512024,0.26707828555107116,0.96704,0.9142,0.05284
18,cnn,FashionMNIST,2,42,relu3,2.263880499250471,0.09009980679512024,0.26707828555107116,0.96704,0.9142,0.05284
19,cnn,FashionMNIST,2,42,relu1,3.0937038524827676,0.08286734040975571,0.2780337945818901,0.96942,0.9118,0.057619999999999894
19,cnn,FashionMNIST,2,42,relu2,1.7124720428801117,0.08286734040975571,0.2780337945818901,0.96942,0.9118,0.057619999999999894
19,cnn,FashionMNIST,2,42,relu3,2.242984482093697,0.08286734040975571,0.2780337945818901,0.96942,0.9118,0.057619999999999894
20,cnn,FashionMNIST,2,42,relu1,3.0980666706851014,0.07427638157129288,0.28478552244901656,0.9721,0.9133,0.05879999999999996
20,cnn,FashionMNIST,2,42,relu2,1.6381948346611797,0.07427638157129288,0.28478552244901656,0.9721,0.9133,0.05879999999999996
20,cnn,FashionMNIST,2,42,relu3,2.2659432284087115,0.07427638157129288,0.28478552244901656,0.9721,0.9133,0.05879999999999996
21,cnn,FashionMNIST,2,42,relu1,3.1095900094476696,0.06926283567428589,0.2872666988134384,0.97438,0.9144,0.05998000000000003
21,cnn,FashionMNIST,2,42,relu2,1.5921105699978462,0.06926283567428589,0.2872666988134384,0.97438,0.9144,0.05998000000000003
21,cnn,FashionMNIST,2,42,relu3,2.251666447230825,0.06926283567428589,0.2872666988134384,0.97438,0.9144,0.05998000000000003
22,cnn,FashionMNIST,2,42,relu1,3.0806337780559443,0.06344172784805298,0.31939050760269166,0.97614,0.911,0.06513999999999998
22,cnn,FashionMNIST,2,42,relu2,1.6233733636042746,0.06344172784805298,0.31939050760269166,0.97614,0.911,0.06513999999999998
22,cnn,FashionMNIST,2,42,relu3,2.2974938857749123,0.06344172784805298,0.31939050760269166,0.97614,0.911,0.06513999999999998
23,cnn,FashionMNIST,2,42,relu1,3.074971453888659,0.05746959442019463,0.3090198097348213,0.97914,0.9127,0.06644000000000005
23,cnn,FashionMNIST,2,42,relu2,1.6043478569806988,0.05746959442019463,0.3090198097348213,0.97914,0.9127,0.06644000000000005
23,cnn,FashionMNIST,2,42,relu3,2.2192594655380677,0.05746959442019463,0.3090198097348213,0.97914,0.9127,0.06644000000000005
24,cnn,FashionMNIST,2,42,relu1,3.168691250895311,0.049725527217388155,0.335952607524395,0.98274,0.9114,0.07133999999999996
24,cnn,FashionMNIST,2,42,relu2,1.6008251136054998,0.049725527217388155,0.335952607524395,0.98274,0.9114,0.07133999999999996
24,cnn,FashionMNIST,2,42,relu3,2.2173320741499487,0.049725527217388155,0.335952607524395,0.98274,0.9114,0.07133999999999996
25,cnn,FashionMNIST,2,42,relu1,3.100288709197771,0.04913443953037262,0.33624641317129134,0.98224,0.9137,0.06854000000000005
25,cnn,FashionMNIST,2,42,relu2,1.664113109401287,0.04913443953037262,0.33624641317129134,0.98224,0.9137,0.06854000000000005
25,cnn,FashionMNIST,2,42,relu3,2.265142307434236,0.04913443953037262,0.33624641317129134,0.98224,0.9137,0.06854000000000005
26,cnn,FashionMNIST,2,42,relu1,3.1762606133855464,0.040942203686237334,0.356115111374855,0.98546,0.9123,0.07316
26,cnn,FashionMNIST,2,42,relu2,1.5470519326343972,0.040942203686237334,0.356115111374855,0.98546,0.9123,0.07316
26,cnn,FashionMNIST,2,42,relu3,2.2429203704077003,0.040942203686237334,0.356115111374855,0.98546,0.9123,0.07316
27,cnn,FashionMNIST,2,42,relu1,3.0631329724756067,0.039952807133197786,0.3681517655611038,0.98592,0.9127,0.07322000000000006
27,cnn,FashionMNIST,2,42,relu2,1.5646085313930775,0.039952807133197786,0.3681517655611038,0.98592,0.9127,0.07322000000000006
27,cnn,FashionMNIST,2,42,relu3,2.23344181112169,0.039952807133197786,0.3681517655611038,0.98592,0.9127,0.07322000000000006
28,cnn,FashionMNIST,2,42,relu1,3.180269544464974,0.03511604901313782,0.40698237756490707,0.98786,0.9131,0.07475999999999994
28,cnn,FashionMNIST,2,42,relu2,1.65283130514111,0.03511604901313782,0.40698237756490707,0.98786,0.9131,0.07475999999999994
28,cnn,FashionMNIST,2,42,relu3,2.2982143277438687,0.03511604901313782,0.40698237756490707,0.98786,0.9131,0.07475999999999994
29,cnn,FashionMNIST,2,42,relu1,3.122105427485678,0.03125994063735008,0.4007464209794998,0.98904,0.9118,0.07723999999999998
29,cnn,FashionMNIST,2,42,relu2,1.581791071670552,0.03125994063735008,0.4007464209794998,0.98904,0.9118,0.07723999999999998
29,cnn,FashionMNIST,2,42,relu3,2.3169086506046743,0.03125994063735008,0.4007464209794998,0.98904,0.9118,0.07723999999999998
30,cnn,FashionMNIST,2,42,relu1,3.0720353290163653,0.02450034229576588,0.44305737277269364,0.99196,0.9095,0.08245999999999998
30,cnn,FashionMNIST,2,42,relu2,1.635444154643899,0.02450034229576588,0.44305737277269364,0.99196,0.9095,0.08245999999999998
30,cnn,FashionMNIST,2,42,relu3,2.303479257656665,0.02450034229576588,0.44305737277269364,0.99196,0.9095,0.08245999999999998
