epoch,model,dataset,seed,split_seed,layer,activation_entropy,train_loss,val_loss,train_accuracy,val_accuracy,val_generalization_gap
1,mlp,FashionMNIST,5,42,relu1,2.677855242692315,0.5390776073455811,0.4125013335227966,0.80676,0.8513,-0.04453999999999991
1,mlp,FashionMNIST,5,42,relu2,2.899041536392906,0.5390776073455811,0.4125013335227966,0.80676,0.8513,-0.04453999999999991
2,mlp,FashionMNIST,5,42,relu1,2.352799633709566,0.39101741627693176,0.38126234884262084,0.85698,0.8574,-0.00042000000000008697
2,mlp,FashionMNIST,5,42,relu2,2.6507854850572534,0.39101741627693176,0.38126234884262084,0.85698,0.8574,-0.00042000000000008697
3,mlp,FashionMNIST,5,42,relu1,2.267494742773812,0.34280641050338745,0.34355075817108155,0.87392,0.8711,0.0028200000000000447
3,mlp,FashionMNIST,5,42,relu2,2.7152023894097095,0.34280641050338745,0.34355075817108155,0.87392,0.8711,0.0028200000000000447
4,mlp,FashionMNIST,5,42,relu1,2.214614747221673,0.3213685444068909,0.3391178740024567,0.88178,0.875,0.006780000000000008
4,mlp,FashionMNIST,5,42,relu2,2.63309434446626,0.3213685444068909,0.3391178740024567,0.88178,0.875,0.006780000000000008
5,mlp,FashionMNIST,5,42,relu1,2.14547436913261,0.2962927863407135,0.33467386407852173,0.88968,0.8756,0.014079999999999981
5,mlp,FashionMNIST,5,42,relu2,2.6833369114833845,0.2962927863407135,0.33467386407852173,0.88968,0.8756,0.014079999999999981
6,mlp,FashionMNIST,5,42,relu1,2.070576823262467,0.2782505335330963,0.3327804817438126,0.89714,0.8748,0.022340000000000027
6,mlp,FashionMNIST,5,42,relu2,2.6693672325287046,0.2782505335330963,0.3327804817438126,0.89714,0.8748,0.022340000000000027
7,mlp,FashionMNIST,5,42,relu1,1.8906834469352531,0.26822999747276305,0.30284381637573243,0.90082,0.8874,0.013419999999999987
7,mlp,FashionMNIST,5,42,relu2,2.5133068950689954,0.26822999747276305,0.30284381637573243,0.90082,0.8874,0.013419999999999987
8,mlp,FashionMNIST,5,42,relu1,1.916000885845273,0.2520782411289215,0.321854350066185,0.90658,0.8804,0.026180000000000092
8,mlp,FashionMNIST,5,42,relu2,2.54820119360382,0.2520782411289215,0.321854350066185,0.90658,0.8804,0.026180000000000092
9,mlp,FashionMNIST,5,42,relu1,1.9287830806449044,0.2396737159061432,0.3059010237455368,0.90968,0.885,0.024680000000000035
9,mlp,FashionMNIST,5,42,relu2,2.5552983946831986,0.2396737159061432,0.3059010237455368,0.90968,0.885,0.024680000000000035
10,mlp,FashionMNIST,5,42,relu1,1.9370673494004131,0.23239274327278137,0.3103662630677223,0.91324,0.8888,0.024440000000000017
10,mlp,FashionMNIST,5,42,relu2,2.5299261267248783,0.23239274327278137,0.3103662630677223,0.91324,0.8888,0.024440000000000017
11,mlp,FashionMNIST,5,42,relu1,1.8679128192115604,0.2180160352897644,0.308217206120491,0.91898,0.8894,0.02958000000000005
11,mlp,FashionMNIST,5,42,relu2,2.547674032820699,0.2180160352897644,0.308217206120491,0.91898,0.8894,0.02958000000000005
12,mlp,FashionMNIST,5,42,relu1,1.8636964721726403,0.21091294649124145,0.3026869434595108,0.91914,0.8898,0.02933999999999992
12,mlp,FashionMNIST,5,42,relu2,2.475287023406097,0.21091294649124145,0.3026869434595108,0.91914,0.8898,0.02933999999999992
13,mlp,FashionMNIST,5,42,relu1,1.8061648749798238,0.1976370124387741,0.3160174641370773,0.92528,0.8874,0.037880000000000025
13,mlp,FashionMNIST,5,42,relu2,2.5274159708127373,0.1976370124387741,0.3160174641370773,0.92528,0.8874,0.037880000000000025
14,mlp,FashionMNIST,5,42,relu1,1.7793237777069655,0.1900109831249714,0.30324395139217375,0.92864,0.8923,0.03634000000000004
14,mlp,FashionMNIST,5,42,relu2,2.4673361212166767,0.1900109831249714,0.30324395139217375,0.92864,0.8923,0.03634000000000004
15,mlp,FashionMNIST,5,42,relu1,1.7720963791915032,0.18606485263824463,0.32911198897361754,0.9301,0.8873,0.04280000000000006
15,mlp,FashionMNIST,5,42,relu2,2.4051611850603667,0.18606485263824463,0.32911198897361754,0.9301,0.8873,0.04280000000000006
16,mlp,FashionMNIST,5,42,relu1,1.7683227838559863,0.1779283158969879,0.3362942464947701,0.93308,0.8871,0.04598000000000002
16,mlp,FashionMNIST,5,42,relu2,2.4713957729831697,0.1779283158969879,0.3362942464947701,0.93308,0.8871,0.04598000000000002
17,mlp,FashionMNIST,5,42,relu1,1.7837118570727744,0.16940902147531509,0.3257651521444321,0.93644,0.8912,0.04524000000000006
17,mlp,FashionMNIST,5,42,relu2,2.478210463911047,0.16940902147531509,0.3257651521444321,0.93644,0.8912,0.04524000000000006
18,mlp,FashionMNIST,5,42,relu1,1.6711100123372262,0.16077291630506516,0.32232572777271273,0.93904,0.8929,0.04613999999999996
18,mlp,FashionMNIST,5,42,relu2,2.426117288450832,0.16077291630506516,0.32232572777271273,0.93904,0.8929,0.04613999999999996
19,mlp,FashionMNIST,5,42,relu1,1.6981106798434735,0.15523898827075958,0.3384674223899841,0.94242,0.8852,0.05722000000000005
19,mlp,FashionMNIST,5,42,relu2,2.387932636644067,0.15523898827075958,0.3384674223899841,0.94242,0.8852,0.05722000000000005
20,mlp,FashionMNIST,5,42,relu1,1.7119736940344248,0.14844004421710968,0.34195337080955507,0.94456,0.8906,0.05396000000000001
20,mlp,FashionMNIST,5,42,relu2,2.424637751377485,0.14844004421710968,0.34195337080955507,0.94456,0.8906,0.05396000000000001
21,mlp,FashionMNIST,5,42,relu1,1.6976081035514128,0.13911880280971528,0.3512399742841721,0.94738,0.8898,0.057579999999999965
21,mlp,FashionMNIST,5,42,relu2,2.3734562430571207,0.13911880280971528,0.3512399742841721,0.94738,0.8898,0.057579999999999965
22,mlp,FashionMNIST,5,42,relu1,1.690400221041608,0.1370010460090637,0.36603732724785804,0.94816,0.8923,0.05586000000000002
22,mlp,FashionMNIST,5,42,relu2,2.460757160155423,0.1370010460090637,0.36603732724785804,0.94816,0.8923,0.05586000000000002
23,mlp,FashionMNIST,5,42,relu1,1.715801354861758,0.12783804710388183,0.3551916101813316,0.95122,0.8919,0.05931999999999993
23,mlp,FashionMNIST,5,42,relu2,2.406422412538672,0.12783804710388183,0.3551916101813316,0.95122,0.8919,0.05931999999999993
24,mlp,FashionMNIST,5,42,relu1,1.6957554536407693,0.11910573982954026,0.39318185267448424,0.95472,0.889,0.06572
24,mlp,FashionMNIST,5,42,relu2,2.4519064506802306,0.11910573982954026,0.39318185267448424,0.95472,0.889,0.06572
25,mlp,FashionMNIST,5,42,relu1,1.684961282383927,0.11951328120946884,0.37513445613384244,0.9547,0.892,0.06269999999999998
25,mlp,FashionMNIST,5,42,relu2,2.373727918090964,0.11951328120946884,0.37513445613384244,0.9547,0.892,0.06269999999999998
26,mlp,FashionMNIST,5,42,relu1,1.662021835735708,0.11777648148536682,0.36653594539165496,0.95598,0.8935,0.06248000000000009
26,mlp,FashionMNIST,5,42,relu2,2.4009523010243083,0.11777648148536682,0.36653594539165496,0.95598,0.8935,0.06248000000000009
27,mlp,FashionMNIST,5,42,relu1,1.667857975654962,0.10475584573030472,0.3780679180383682,0.96092,0.8965,0.06442000000000003
27,mlp,FashionMNIST,5,42,relu2,2.3940813017690363,0.10475584573030472,0.3780679180383682,0.96092,0.8965,0.06442000000000003
28,mlp,FashionMNIST,5,42,relu1,1.6831735879123555,0.10671668057918549,0.37999351770877837,0.95986,0.8962,0.06366000000000005
28,mlp,FashionMNIST,5,42,relu2,2.3909453221989656,0.10671668057918549,0.37999351770877837,0.95986,0.8962,0.06366000000000005
29,mlp,FashionMNIST,5,42,relu1,1.7054222267569965,0.09806057408094405,0.41548094547986986,0.96324,0.8931,0.07013999999999998
29,mlp,FashionMNIST,5,42,relu2,2.405382326609265,0.09806057408094405,0.41548094547986986,0.96324,0.8931,0.07013999999999998
30,mlp,FashionMNIST,5,42,relu1,1.7095116024375332,0.09433996146678925,0.41821078406572343,0.96482,0.8899,0.07491999999999999
30,mlp,FashionMNIST,5,42,relu2,2.29674832977765,0.09433996146678925,0.41821078406572343,0.96482,0.8899,0.07491999999999999
