epoch,model,dataset,seed,split_seed,layer,activation_entropy,train_loss,val_loss,train_accuracy,val_accuracy,val_generalization_gap
1,mlp,FashionMNIST,1,42,relu1,2.7846389611253173,0.5447508033943176,0.42166851286888124,0.80616,0.8475,-0.04134000000000004
1,mlp,FashionMNIST,1,42,relu2,2.971193552193442,0.5447508033943176,0.42166851286888124,0.80616,0.8475,-0.04134000000000004
2,mlp,FashionMNIST,1,42,relu1,2.4945461156776596,0.38541798933029175,0.36214691338539123,0.86002,0.8631,-0.0030799999999999716
2,mlp,FashionMNIST,1,42,relu2,2.8330915860507644,0.38541798933029175,0.36214691338539123,0.86002,0.8631,-0.0030799999999999716
3,mlp,FashionMNIST,1,42,relu1,2.3824905335231,0.3432750247478485,0.35117451469898225,0.8743,0.871,0.0032999999999999696
3,mlp,FashionMNIST,1,42,relu2,2.732266746660301,0.3432750247478485,0.35117451469898225,0.8743,0.871,0.0032999999999999696
4,mlp,FashionMNIST,1,42,relu1,2.1738222903241584,0.32209327707290647,0.3391755434036255,0.8823,0.8726,0.009699999999999931
4,mlp,FashionMNIST,1,42,relu2,2.6049755014316713,0.32209327707290647,0.3391755434036255,0.8823,0.8726,0.009699999999999931
5,mlp,FashionMNIST,1,42,relu1,2.156470071330518,0.2989227840614319,0.3095317077875137,0.88922,0.8805,0.008720000000000061
5,mlp,FashionMNIST,1,42,relu2,2.5562931948478402,0.2989227840614319,0.3095317077875137,0.88922,0.8805,0.008720000000000061
6,mlp,FashionMNIST,1,42,relu1,2.0961758776167354,0.2813117883348465,0.3237019463300705,0.896,0.8814,0.014600000000000057
6,mlp,FashionMNIST,1,42,relu2,2.5650494153919747,0.2813117883348465,0.3237019463300705,0.896,0.8814,0.014600000000000057
7,mlp,FashionMNIST,1,42,relu1,2.046822712670327,0.26681037959575654,0.3160519803762436,0.90164,0.8844,0.017240000000000033
7,mlp,FashionMNIST,1,42,relu2,2.563766410690844,0.26681037959575654,0.3160519803762436,0.90164,0.8844,0.017240000000000033
8,mlp,FashionMNIST,1,42,relu1,1.9579224772139134,0.25325485429763794,0.3152569175720215,0.9064,0.8819,0.024499999999999966
8,mlp,FashionMNIST,1,42,relu2,2.515286009413939,0.25325485429763794,0.3152569175720215,0.9064,0.8819,0.024499999999999966
9,mlp,FashionMNIST,1,42,relu1,1.9307049391613094,0.24492197975158692,0.3438947005152702,0.90884,0.8753,0.033540000000000014
9,mlp,FashionMNIST,1,42,relu2,2.5008475304490396,0.24492197975158692,0.3438947005152702,0.90884,0.8753,0.033540000000000014
10,mlp,FashionMNIST,1,42,relu1,1.9124580126188966,0.23572370864868164,0.3175684146404266,0.91236,0.8869,0.025459999999999927
10,mlp,FashionMNIST,1,42,relu2,2.5498436248022456,0.23572370864868164,0.3175684146404266,0.91236,0.8869,0.025459999999999927
11,mlp,FashionMNIST,1,42,relu1,1.8723627273986267,0.22134352167606353,0.32488650958538057,0.91738,0.8827,0.03467999999999993
11,mlp,FashionMNIST,1,42,relu2,2.5193488831024813,0.22134352167606353,0.32488650958538057,0.91738,0.8827,0.03467999999999993
12,mlp,FashionMNIST,1,42,relu1,1.8118812961519202,0.21189892955541612,0.30351253385543825,0.92,0.8899,0.030100000000000016
12,mlp,FashionMNIST,1,42,relu2,2.4247469348809174,0.21189892955541612,0.30351253385543825,0.92,0.8899,0.030100000000000016
13,mlp,FashionMNIST,1,42,relu1,1.7996751212422604,0.2035737343788147,0.3191087800502777,0.92382,0.8882,0.035619999999999985
13,mlp,FashionMNIST,1,42,relu2,2.4647624063515043,0.2035737343788147,0.3191087800502777,0.92382,0.8882,0.035619999999999985
