epoch,model,dataset,seed,split_seed,layer,activation_entropy,train_loss,val_loss,train_accuracy,val_accuracy,val_generalization_gap
1,mlp,FashionMNIST,4,42,relu1,2.6303655336889413,0.5423464234161377,0.4220190598487854,0.80422,0.8389,-0.03467999999999993
1,mlp,FashionMNIST,4,42,relu2,2.896585542696069,0.5423464234161377,0.4220190598487854,0.80422,0.8389,-0.03467999999999993
2,mlp,FashionMNIST,4,42,relu1,2.3658689744263333,0.3854027752304077,0.37167609481811525,0.86006,0.8596,0.00046000000000001595
2,mlp,FashionMNIST,4,42,relu2,2.787865215445627,0.3854027752304077,0.37167609481811525,0.86006,0.8596,0.00046000000000001595
3,mlp,FashionMNIST,4,42,relu1,2.250163257723802,0.34464921491622924,0.34898034665584565,0.8732,0.8691,0.0040999999999999925
3,mlp,FashionMNIST,4,42,relu2,2.7566660672379397,0.34464921491622924,0.34898034665584565,0.8732,0.8691,0.0040999999999999925
4,mlp,FashionMNIST,4,42,relu1,2.1454886362978516,0.31683798080444336,0.32513435344696046,0.88356,0.8808,0.0027599999999999847
4,mlp,FashionMNIST,4,42,relu2,2.776019112243006,0.31683798080444336,0.32513435344696046,0.88356,0.8808,0.0027599999999999847
5,mlp,FashionMNIST,4,42,relu1,2.026307535927283,0.2965687565422058,0.3411128745794296,0.89104,0.8742,0.016840000000000077
5,mlp,FashionMNIST,4,42,relu2,2.673846051750509,0.2965687565422058,0.3411128745794296,0.89104,0.8742,0.016840000000000077
6,mlp,FashionMNIST,4,42,relu1,1.977897628086307,0.2825851447868347,0.3160334816217423,0.89436,0.8809,0.013460000000000027
6,mlp,FashionMNIST,4,42,relu2,2.639404804480286,0.2825851447868347,0.3160334816217423,0.89436,0.8809,0.013460000000000027
7,mlp,FashionMNIST,4,42,relu1,1.9811196913790232,0.2658235772037506,0.3257475476264954,0.90036,0.8791,0.021260000000000057
7,mlp,FashionMNIST,4,42,relu2,2.748961762110777,0.2658235772037506,0.3257475476264954,0.90036,0.8791,0.021260000000000057
8,mlp,FashionMNIST,4,42,relu1,1.8589166043797916,0.2510089584445953,0.302454797744751,0.90596,0.8862,0.01976
8,mlp,FashionMNIST,4,42,relu2,2.588082319280273,0.2510089584445953,0.302454797744751,0.90596,0.8862,0.01976
9,mlp,FashionMNIST,4,42,relu1,1.806783545174074,0.23575019371032715,0.2987935487031937,0.91306,0.8939,0.019159999999999955
9,mlp,FashionMNIST,4,42,relu2,2.5848295354113677,0.23575019371032715,0.2987935487031937,0.91306,0.8939,0.019159999999999955
10,mlp,FashionMNIST,4,42,relu1,1.784613375707628,0.22871667718887329,0.32886084840297697,0.91398,0.8844,0.02958000000000005
10,mlp,FashionMNIST,4,42,relu2,2.5732722779870527,0.22871667718887329,0.32886084840297697,0.91398,0.8844,0.02958000000000005
11,mlp,FashionMNIST,4,42,relu1,1.7961507939283408,0.2172987218618393,0.30643310642242433,0.92014,0.8898,0.030339999999999923
11,mlp,FashionMNIST,4,42,relu2,2.5136460969520864,0.2172987218618393,0.30643310642242433,0.92014,0.8898,0.030339999999999923
12,mlp,FashionMNIST,4,42,relu1,1.7171303018522204,0.20837412484169007,0.31796051154136656,0.92202,0.8858,0.03621999999999992
12,mlp,FashionMNIST,4,42,relu2,2.5312156485456985,0.20837412484169007,0.31796051154136656,0.92202,0.8858,0.03621999999999992
13,mlp,FashionMNIST,4,42,relu1,1.6999096301855037,0.19833346952438355,0.34117728469371794,0.9257,0.8823,0.043399999999999994
13,mlp,FashionMNIST,4,42,relu2,2.485447178665564,0.19833346952438355,0.34117728469371794,0.9257,0.8823,0.043399999999999994
14,mlp,FashionMNIST,4,42,relu1,1.7728649056086372,0.186457706489563,0.3524868620634079,0.93044,0.8848,0.045640000000000014
14,mlp,FashionMNIST,4,42,relu2,2.615451373811823,0.186457706489563,0.3524868620634079,0.93044,0.8848,0.045640000000000014
15,mlp,FashionMNIST,4,42,relu1,1.708591548921172,0.1798443822956085,0.31151306493282316,0.93268,0.8954,0.03727999999999998
15,mlp,FashionMNIST,4,42,relu2,2.563418713176958,0.1798443822956085,0.31151306493282316,0.93268,0.8954,0.03727999999999998
16,mlp,FashionMNIST,4,42,relu1,1.637365027876291,0.17773177142620086,0.3262343148946762,0.93332,0.8919,0.04142000000000001
16,mlp,FashionMNIST,4,42,relu2,2.473312281199677,0.17773177142620086,0.3262343148946762,0.93332,0.8919,0.04142000000000001
17,mlp,FashionMNIST,4,42,relu1,1.6806786864533796,0.16540008433818817,0.3292516765475273,0.93776,0.8948,0.04296
17,mlp,FashionMNIST,4,42,relu2,2.4372823550916807,0.16540008433818817,0.3292516765475273,0.93776,0.8948,0.04296
18,mlp,FashionMNIST,4,42,relu1,1.6647652257013403,0.15546614553451538,0.34603859983682633,0.94208,0.8944,0.047680000000000056
18,mlp,FashionMNIST,4,42,relu2,2.5664621752906505,0.15546614553451538,0.34603859983682633,0.94208,0.8944,0.047680000000000056
19,mlp,FashionMNIST,4,42,relu1,1.6364033734680359,0.15180611372947692,0.33859667877554894,0.9428,0.8948,0.04799999999999993
19,mlp,FashionMNIST,4,42,relu2,2.4939022139560874,0.15180611372947692,0.33859667877554894,0.9428,0.8948,0.04799999999999993
20,mlp,FashionMNIST,4,42,relu1,1.625425767070414,0.14390874370336532,0.3516408451795578,0.94574,0.886,0.059740000000000015
20,mlp,FashionMNIST,4,42,relu2,2.4600692047401607,0.14390874370336532,0.3516408451795578,0.94574,0.886,0.059740000000000015
21,mlp,FashionMNIST,4,42,relu1,1.6085771162833633,0.13613327309608458,0.3489967654943466,0.94874,0.8942,0.05454000000000003
21,mlp,FashionMNIST,4,42,relu2,2.501607081563603,0.13613327309608458,0.3489967654943466,0.94874,0.8942,0.05454000000000003
22,mlp,FashionMNIST,4,42,relu1,1.6371674972249508,0.12940634705781937,0.37652089515924453,0.95132,0.8931,0.05822000000000005
22,mlp,FashionMNIST,4,42,relu2,2.5506036047894116,0.12940634705781937,0.37652089515924453,0.95132,0.8931,0.05822000000000005
23,mlp,FashionMNIST,4,42,relu1,1.6283359357986238,0.12275535027980805,0.42816623146533966,0.95338,0.8823,0.07108000000000003
23,mlp,FashionMNIST,4,42,relu2,2.541392448112223,0.12275535027980805,0.42816623146533966,0.95338,0.8823,0.07108000000000003
24,mlp,FashionMNIST,4,42,relu1,1.6058634053960175,0.1191824384880066,0.3798327727198601,0.95472,0.8936,0.06112000000000006
24,mlp,FashionMNIST,4,42,relu2,2.5120248755119334,0.1191824384880066,0.3798327727198601,0.95472,0.8936,0.06112000000000006
25,mlp,FashionMNIST,4,42,relu1,1.6263702188311833,0.11245388133764267,0.3997934787988663,0.95722,0.8935,0.06372
25,mlp,FashionMNIST,4,42,relu2,2.483812522676258,0.11245388133764267,0.3997934787988663,0.95722,0.8935,0.06372
26,mlp,FashionMNIST,4,42,relu1,1.576650852475534,0.11036108472824097,0.3761494753241539,0.95786,0.895,0.06286000000000003
26,mlp,FashionMNIST,4,42,relu2,2.48420512808699,0.11036108472824097,0.3761494753241539,0.95786,0.895,0.06286000000000003
27,mlp,FashionMNIST,4,42,relu1,1.5900238596220686,0.10156430014133454,0.40761418709754943,0.96058,0.8926,0.06798000000000004
27,mlp,FashionMNIST,4,42,relu2,2.4586037752950074,0.10156430014133454,0.40761418709754943,0.96058,0.8926,0.06798000000000004
28,mlp,FashionMNIST,4,42,relu1,1.5493877392452147,0.0983996505022049,0.41836309137344363,0.96268,0.893,0.06967999999999996
28,mlp,FashionMNIST,4,42,relu2,2.4699104855002614,0.0983996505022049,0.41836309137344363,0.96268,0.893,0.06967999999999996
29,mlp,FashionMNIST,4,42,relu1,1.563926110327507,0.1031174119257927,0.44863607342243195,0.96072,0.8892,0.07152000000000003
29,mlp,FashionMNIST,4,42,relu2,2.466696981614967,0.1031174119257927,0.44863607342243195,0.96072,0.8892,0.07152000000000003
30,mlp,FashionMNIST,4,42,relu1,1.5785558235486399,0.09030229296207427,0.44160252952575685,0.9658,0.8914,0.07440000000000002
30,mlp,FashionMNIST,4,42,relu2,2.4454021904515053,0.09030229296207427,0.44160252952575685,0.9658,0.8914,0.07440000000000002
