binning_method,model,dataset,layer,initial_entropy_mean,initial_entropy_std,final_entropy_mean,final_entropy_std,entropy_change_mean,entropy_change_std,peak_entropy_mean,peak_entropy_std,peak_epoch_mean,minimum_entropy_mean,minimum_entropy_std,minimum_epoch_mean,n_seeds
fixed50,cnn,FashionMNIST,relu1,3.251125390589165,0.2717054112872542,2.9950700726026325,0.09984655038626426,-0.25605531798653247,0.19679289697056512,3.3168576129801997,0.21672043735000585,2.6,2.928329668856475,0.14141188129943016,22.4,5
fixed50,cnn,FashionMNIST,relu2,3.022954504575509,0.10951999896141888,1.576292905289669,0.043789884464429,-1.4466615992858396,0.08605397518445007,3.022954504575509,0.10951999896141888,1.0,1.5168324399946493,0.05391221462149244,26.4,5
fixed50,cnn,FashionMNIST,relu3,3.1021567915552692,0.16807832232465816,2.404829148136424,0.1315045194948229,-0.6973276434188452,0.07239082874379499,3.1021567915552692,0.16807832232465816,1.0,2.3231010959850926,0.11934251837562744,15.2,5
fixed50,mlp,FashionMNIST,relu1,2.713074480861498,0.05998873723027207,1.6513336221374897,0.05453778805212739,-1.0617408587240087,0.05817224667625504,2.713074480861498,0.05998873723027207,1.0,1.627822961463091,0.049866574952399774,28.0,5
fixed50,mlp,FashionMNIST,relu2,2.929149306542673,0.07848095228927383,2.4010602030270087,0.07041349162649638,-0.5280891035156643,0.0746030718290833,2.929149306542673,0.07848095228927383,1.0,2.3720526460860922,0.0660866342577773,24.0,5
