binning_method,model,dataset,layer,initial_entropy_mean,initial_entropy_std,final_entropy_mean,final_entropy_std,entropy_change_mean,entropy_change_std,peak_entropy_mean,peak_entropy_std,peak_epoch_mean,minimum_entropy_mean,minimum_entropy_std,minimum_epoch_mean,n_seeds
fd,cnn,FashionMNIST,relu1,5.476440572233377,0.28434430130646515,4.798516115554757,0.19765181460060305,-0.6779244566786204,0.19917604191306834,5.582351439938018,0.22698098773727132,3.2,4.793056945230525,0.2012561819901011,28.2,5
fd,cnn,FashionMNIST,relu2,5.809284740370474,0.15790661617878296,2.7061825947955205,0.06806860074270206,-3.1031021455749523,0.14146828463195896,5.809284740370474,0.15790661617878296,1.0,2.616429303345559,0.07837967484646205,27.4,5
fd,cnn,FashionMNIST,relu3,5.044579554115329,0.3590593335320673,3.6292600036282785,0.23526470587198514,-1.4153195504870506,0.15775479544944437,5.044579554115329,0.3590593335320673,1.0,3.5899811419390097,0.22188658399059472,28.0,5
fd,mlp,FashionMNIST,relu1,5.317732603927942,0.1334414814162485,2.794096672329049,0.095397828383317,-2.5236359315988928,0.11448037735825922,5.317732603927942,0.1334414814162485,1.0,2.7628516974220014,0.09433057049047115,28.0,5
fd,mlp,FashionMNIST,relu2,5.130299893599493,0.1288543356692806,3.816848805728796,0.1182861264413946,-1.3134510878706969,0.12207466519506936,5.130299893599493,0.1288543356692806,1.0,3.7842197013003074,0.1162770251735592,28.6,5
fixed50,cnn,FashionMNIST,relu1,3.251125390589165,0.2717054112872542,2.9950700726026325,0.09984655038626426,-0.25605531798653247,0.19679289697056512,3.3168576129801997,0.21672043735000585,2.6,2.928329668856475,0.14141188129943016,22.4,5
fixed50,cnn,FashionMNIST,relu2,3.022954504575509,0.10951999896141888,1.576292905289669,0.043789884464429,-1.4466615992858396,0.08605397518445007,3.022954504575509,0.10951999896141888,1.0,1.5168324399946493,0.05391221462149244,26.4,5
fixed50,cnn,FashionMNIST,relu3,3.1021567915552692,0.16807832232465816,2.404829148136424,0.1315045194948229,-0.6973276434188452,0.07239082874379499,3.1021567915552692,0.16807832232465816,1.0,2.3231010959850926,0.11934251837562744,15.2,5
fixed50,mlp,FashionMNIST,relu1,2.713074480861498,0.05998873723027207,1.6513336221374897,0.05453778805212739,-1.0617408587240087,0.05817224667625504,2.713074480861498,0.05998873723027207,1.0,1.627822961463091,0.049866574952399774,28.0,5
fixed50,mlp,FashionMNIST,relu2,2.929149306542673,0.07848095228927383,2.4010602030270087,0.07041349162649638,-0.5280891035156643,0.0746030718290833,2.929149306542673,0.07848095228927383,1.0,2.3720526460860922,0.0660866342577773,24.0,5
