epoch,model,dataset,seed,split_seed,layer,activation_entropy,train_loss,val_loss,train_accuracy,val_accuracy,val_generalization_gap
1,mlp,FashionMNIST,3,42,relu1,5.423650713911206,0.5454959053897858,0.4112071596622467,0.8032,0.8506,-0.0474
1,mlp,FashionMNIST,3,42,relu2,4.990430107921737,0.5454959053897858,0.4112071596622467,0.8032,0.8506,-0.0474
2,mlp,FashionMNIST,3,42,relu1,4.952219451149616,0.38847649614334107,0.391943879365921,0.85872,0.8526,0.006120000000000014
2,mlp,FashionMNIST,3,42,relu2,4.883325636731001,0.38847649614334107,0.391943879365921,0.85872,0.8526,0.006120000000000014
3,mlp,FashionMNIST,3,42,relu1,4.681200405665613,0.34633782029151916,0.3588974669933319,0.8725,0.863,0.009500000000000064
3,mlp,FashionMNIST,3,42,relu2,4.66706521410925,0.34633782029151916,0.3588974669933319,0.8725,0.863,0.009500000000000064
4,mlp,FashionMNIST,3,42,relu1,4.3332004313723695,0.3207338984584808,0.33990630435943603,0.88024,0.8721,0.008140000000000036
4,mlp,FashionMNIST,3,42,relu2,4.58903173558946,0.3207338984584808,0.33990630435943603,0.88024,0.8721,0.008140000000000036
5,mlp,FashionMNIST,3,42,relu1,4.087793506025399,0.2974054247093201,0.32527937774658205,0.89044,0.8799,0.010539999999999994
5,mlp,FashionMNIST,3,42,relu2,4.4921545808522145,0.2974054247093201,0.32527937774658205,0.89044,0.8799,0.010539999999999994
6,mlp,FashionMNIST,3,42,relu1,3.934095936549156,0.2818712925386429,0.32074427366256714,0.89522,0.8809,0.01432
6,mlp,FashionMNIST,3,42,relu2,4.503735033253969,0.2818712925386429,0.32074427366256714,0.89522,0.8809,0.01432
7,mlp,FashionMNIST,3,42,relu1,3.7459397792886744,0.2677960593700409,0.339607363653183,0.89906,0.8743,0.024760000000000004
7,mlp,FashionMNIST,3,42,relu2,4.311814442453858,0.2677960593700409,0.339607363653183,0.89906,0.8743,0.024760000000000004
8,mlp,FashionMNIST,3,42,relu1,3.693611877284712,0.256239895734787,0.3089698303461075,0.904,0.8847,0.019299999999999984
8,mlp,FashionMNIST,3,42,relu2,4.298921846973198,0.256239895734787,0.3089698303461075,0.904,0.8847,0.019299999999999984
9,mlp,FashionMNIST,3,42,relu1,3.7049464838261095,0.2410849551486969,0.31422830336093904,0.91004,0.8857,0.024339999999999917
9,mlp,FashionMNIST,3,42,relu2,4.373355506010441,0.2410849551486969,0.31422830336093904,0.91004,0.8857,0.024339999999999917
10,mlp,FashionMNIST,3,42,relu1,3.48751268757062,0.23040819060325624,0.28994462379217145,0.91234,0.8939,0.018440000000000012
10,mlp,FashionMNIST,3,42,relu2,4.240819974416017,0.23040819060325624,0.28994462379217145,0.91234,0.8939,0.018440000000000012
11,mlp,FashionMNIST,3,42,relu1,3.297983086422407,0.22093503049850463,0.32619622116088864,0.91606,0.8838,0.032259999999999955
11,mlp,FashionMNIST,3,42,relu2,4.204251053097495,0.22093503049850463,0.32619622116088864,0.91606,0.8838,0.032259999999999955
12,mlp,FashionMNIST,3,42,relu1,3.5105284286212832,0.20907131324291228,0.2993078790426254,0.92164,0.894,0.027639999999999998
12,mlp,FashionMNIST,3,42,relu2,4.319051644904853,0.20907131324291228,0.2993078790426254,0.92164,0.894,0.027639999999999998
13,mlp,FashionMNIST,3,42,relu1,3.2471853478292454,0.19960050392389297,0.31051393418312073,0.92374,0.8928,0.030939999999999968
13,mlp,FashionMNIST,3,42,relu2,4.053874562047228,0.19960050392389297,0.31051393418312073,0.92374,0.8928,0.030939999999999968
14,mlp,FashionMNIST,3,42,relu1,3.201937888511328,0.19338784319877625,0.30451143128871916,0.92688,0.8927,0.03417999999999999
14,mlp,FashionMNIST,3,42,relu2,4.091324855392752,0.19338784319877625,0.30451143128871916,0.92688,0.8927,0.03417999999999999
15,mlp,FashionMNIST,3,42,relu1,3.256907734032353,0.18265650874376296,0.2992931560277939,0.93114,0.8959,0.03523999999999994
15,mlp,FashionMNIST,3,42,relu2,3.9936642288102897,0.18265650874376296,0.2992931560277939,0.93114,0.8959,0.03523999999999994
16,mlp,FashionMNIST,3,42,relu1,3.2661426542522904,0.17289671003818513,0.31890247304439545,0.93418,0.8938,0.04037999999999997
16,mlp,FashionMNIST,3,42,relu2,4.114731975864282,0.17289671003818513,0.31890247304439545,0.93418,0.8938,0.04037999999999997
17,mlp,FashionMNIST,3,42,relu1,3.08468780207909,0.1645901356434822,0.3238556448698044,0.93794,0.893,0.04493999999999998
17,mlp,FashionMNIST,3,42,relu2,4.051460537119608,0.1645901356434822,0.3238556448698044,0.93794,0.893,0.04493999999999998
18,mlp,FashionMNIST,3,42,relu1,3.0160084088780272,0.15982990762233734,0.35096752648353574,0.94052,0.8868,0.05371999999999999
18,mlp,FashionMNIST,3,42,relu2,3.976828948802665,0.15982990762233734,0.35096752648353574,0.94052,0.8868,0.05371999999999999
19,mlp,FashionMNIST,3,42,relu1,3.0023211237032608,0.15557258949518205,0.34222661514282227,0.94088,0.8895,0.05138000000000009
19,mlp,FashionMNIST,3,42,relu2,3.9274702837391584,0.15557258949518205,0.34222661514282227,0.94088,0.8895,0.05138000000000009
20,mlp,FashionMNIST,3,42,relu1,3.0586701414576694,0.14778746090888978,0.35515535614490507,0.94364,0.8875,0.05614000000000008
20,mlp,FashionMNIST,3,42,relu2,3.942757066957839,0.14778746090888978,0.35515535614490507,0.94364,0.8875,0.05614000000000008
21,mlp,FashionMNIST,3,42,relu1,3.0281123500054434,0.1394825307750702,0.3503408146858215,0.94738,0.8912,0.05618000000000001
21,mlp,FashionMNIST,3,42,relu2,3.909391672397977,0.1394825307750702,0.3503408146858215,0.94738,0.8912,0.05618000000000001
22,mlp,FashionMNIST,3,42,relu1,3.0040674356133947,0.13260460953235625,0.34817092514038084,0.9505,0.8939,0.056599999999999984
22,mlp,FashionMNIST,3,42,relu2,3.8930611303337987,0.13260460953235625,0.34817092514038084,0.9505,0.8939,0.056599999999999984
23,mlp,FashionMNIST,3,42,relu1,3.0216654850461206,0.12529075734615325,0.3553790056705475,0.9525,0.8915,0.061000000000000054
23,mlp,FashionMNIST,3,42,relu2,3.8257869751313964,0.12529075734615325,0.3553790056705475,0.9525,0.8915,0.061000000000000054
24,mlp,FashionMNIST,3,42,relu1,2.9420852619896194,0.11839668617248535,0.34276228773593903,0.95596,0.8993,0.056660000000000044
24,mlp,FashionMNIST,3,42,relu2,3.7651221828224575,0.11839668617248535,0.34276228773593903,0.95596,0.8993,0.056660000000000044
25,mlp,FashionMNIST,3,42,relu1,2.9035189715364567,0.11744046538591385,0.36020585741996763,0.95582,0.8977,0.05811999999999995
25,mlp,FashionMNIST,3,42,relu2,3.6892671361929343,0.11744046538591385,0.36020585741996763,0.95582,0.8977,0.05811999999999995
26,mlp,FashionMNIST,3,42,relu1,2.9005099867625126,0.1119739516210556,0.3654926930189133,0.95848,0.8944,0.06408000000000003
26,mlp,FashionMNIST,3,42,relu2,3.735926181648226,0.1119739516210556,0.3654926930189133,0.95848,0.8944,0.06408000000000003
27,mlp,FashionMNIST,3,42,relu1,2.9372713272603233,0.10321448863983154,0.3832091401576996,0.96128,0.8945,0.06678000000000006
27,mlp,FashionMNIST,3,42,relu2,3.8609484104768117,0.10321448863983154,0.3832091401576996,0.96128,0.8945,0.06678000000000006
