epoch,model,dataset,seed,split_seed,layer,activation_entropy,train_loss,val_loss,train_accuracy,val_accuracy,val_generalization_gap
1,mlp,FashionMNIST,1,42,relu1,5.4678157946880965,0.5447508033943176,0.42166851286888124,0.80616,0.8475,-0.04134000000000004
1,mlp,FashionMNIST,1,42,relu2,5.134081252776843,0.5447508033943176,0.42166851286888124,0.80616,0.8475,-0.04134000000000004
2,mlp,FashionMNIST,1,42,relu1,4.812634402183794,0.38541798933029175,0.36214691338539123,0.86002,0.8631,-0.0030799999999999716
2,mlp,FashionMNIST,1,42,relu2,4.875603458642636,0.38541798933029175,0.36214691338539123,0.86002,0.8631,-0.0030799999999999716
3,mlp,FashionMNIST,1,42,relu1,4.5623498394030415,0.3432750247478485,0.35117451469898225,0.8743,0.871,0.0032999999999999696
3,mlp,FashionMNIST,1,42,relu2,4.677847729724534,0.3432750247478485,0.35117451469898225,0.8743,0.871,0.0032999999999999696
4,mlp,FashionMNIST,1,42,relu1,4.093809584762164,0.32209327707290647,0.3391755434036255,0.8823,0.8726,0.009699999999999931
4,mlp,FashionMNIST,1,42,relu2,4.457696418620432,0.32209327707290647,0.3391755434036255,0.8823,0.8726,0.009699999999999931
5,mlp,FashionMNIST,1,42,relu1,4.023914347937156,0.2989227840614319,0.3095317077875137,0.88922,0.8805,0.008720000000000061
5,mlp,FashionMNIST,1,42,relu2,4.353996632813767,0.2989227840614319,0.3095317077875137,0.88922,0.8805,0.008720000000000061
6,mlp,FashionMNIST,1,42,relu1,3.8835909456997566,0.2813117883348465,0.3237019463300705,0.896,0.8814,0.014600000000000057
6,mlp,FashionMNIST,1,42,relu2,4.33187349770102,0.2813117883348465,0.3237019463300705,0.896,0.8814,0.014600000000000057
7,mlp,FashionMNIST,1,42,relu1,3.7472068297105543,0.26681037959575654,0.3160519803762436,0.90164,0.8844,0.017240000000000033
7,mlp,FashionMNIST,1,42,relu2,4.327152852129807,0.26681037959575654,0.3160519803762436,0.90164,0.8844,0.017240000000000033
8,mlp,FashionMNIST,1,42,relu1,3.5799523560609496,0.25325485429763794,0.3152569175720215,0.9064,0.8819,0.024499999999999966
8,mlp,FashionMNIST,1,42,relu2,4.221797406030517,0.25325485429763794,0.3152569175720215,0.9064,0.8819,0.024499999999999966
9,mlp,FashionMNIST,1,42,relu1,3.4854253258189893,0.24492197975158692,0.3438947005152702,0.90884,0.8753,0.033540000000000014
9,mlp,FashionMNIST,1,42,relu2,4.154530944764931,0.24492197975158692,0.3438947005152702,0.90884,0.8753,0.033540000000000014
10,mlp,FashionMNIST,1,42,relu1,3.438005593063056,0.23572370864868164,0.3175684146404266,0.91236,0.8869,0.025459999999999927
10,mlp,FashionMNIST,1,42,relu2,4.241558128931943,0.23572370864868164,0.3175684146404266,0.91236,0.8869,0.025459999999999927
11,mlp,FashionMNIST,1,42,relu1,3.3676265318297154,0.22134352167606353,0.32488650958538057,0.91738,0.8827,0.03467999999999993
11,mlp,FashionMNIST,1,42,relu2,4.184481192122964,0.22134352167606353,0.32488650958538057,0.91738,0.8827,0.03467999999999993
12,mlp,FashionMNIST,1,42,relu1,3.2494152316328364,0.21189892955541612,0.30351253385543825,0.92,0.8899,0.030100000000000016
