epoch,model,dataset,seed,split_seed,layer,activation_entropy,train_loss,val_loss,train_accuracy,val_accuracy,val_generalization_gap
1,cnn,FashionMNIST,3,42,relu1,5.904728209458704,0.5620086165714264,0.38655480847358703,0.80062,0.86,-0.05937999999999999
1,cnn,FashionMNIST,3,42,relu2,5.863402449356277,0.5620086165714264,0.38655480847358703,0.80062,0.86,-0.05937999999999999
1,cnn,FashionMNIST,3,42,relu3,4.766129073884787,0.5620086165714264,0.38655480847358703,0.80062,0.86,-0.05937999999999999
2,cnn,FashionMNIST,3,42,relu1,5.8935046987968995,0.36117628251075745,0.3276607989311218,0.86982,0.8785,-0.00867999999999991
2,cnn,FashionMNIST,3,42,relu2,5.215916758020038,0.36117628251075745,0.3276607989311218,0.86982,0.8785,-0.00867999999999991
2,cnn,FashionMNIST,3,42,relu3,4.459593695172195,0.36117628251075745,0.3276607989311218,0.86982,0.8785,-0.00867999999999991
3,cnn,FashionMNIST,3,42,relu1,5.807851204671659,0.31417033474445344,0.3026336448907852,0.88624,0.8869,-0.0006599999999999939
3,cnn,FashionMNIST,3,42,relu2,5.167943759950597,0.31417033474445344,0.3026336448907852,0.88624,0.8869,-0.0006599999999999939
3,cnn,FashionMNIST,3,42,relu3,4.461942684328735,0.31417033474445344,0.3026336448907852,0.88624,0.8869,-0.0006599999999999939
4,cnn,FashionMNIST,3,42,relu1,5.631585836838691,0.28295871880054474,0.2902287328362465,0.89744,0.8919,0.005539999999999989
4,cnn,FashionMNIST,3,42,relu2,4.745749934157698,0.28295871880054474,0.2902287328362465,0.89744,0.8919,0.005539999999999989
4,cnn,FashionMNIST,3,42,relu3,4.208131172111391,0.28295871880054474,0.2902287328362465,0.89744,0.8919,0.005539999999999989
5,cnn,FashionMNIST,3,42,relu1,5.607827315438996,0.2618759206390381,0.2667703462600708,0.9051,0.9015,0.0036000000000000476
5,cnn,FashionMNIST,3,42,relu2,4.524053389352439,0.2618759206390381,0.2667703462600708,0.9051,0.9015,0.0036000000000000476
5,cnn,FashionMNIST,3,42,relu3,4.056251811899347,0.2618759206390381,0.2667703462600708,0.9051,0.9015,0.0036000000000000476
6,cnn,FashionMNIST,3,42,relu1,5.670574339525278,0.2407767776966095,0.2540427635788918,0.91228,0.9046,0.00768000000000002
6,cnn,FashionMNIST,3,42,relu2,4.287647770651033,0.2407767776966095,0.2540427635788918,0.91228,0.9046,0.00768000000000002
6,cnn,FashionMNIST,3,42,relu3,3.9521573084470267,0.2407767776966095,0.2540427635788918,0.91228,0.9046,0.00768000000000002
7,cnn,FashionMNIST,3,42,relu1,5.523348792702934,0.2237524205684662,0.27921372870206834,0.91778,0.8961,0.021680000000000033
7,cnn,FashionMNIST,3,42,relu2,3.9050762980052336,0.2237524205684662,0.27921372870206834,0.91778,0.8961,0.021680000000000033
7,cnn,FashionMNIST,3,42,relu3,3.9428961353706895,0.2237524205684662,0.27921372870206834,0.91778,0.8961,0.021680000000000033
8,cnn,FashionMNIST,3,42,relu1,5.36848046514329,0.21148250126361848,0.25637712926864625,0.92208,0.9037,0.018380000000000063
