epoch,model,dataset,seed,split_seed,layer,activation_entropy,train_loss,val_loss,train_accuracy,val_accuracy,val_generalization_gap
1,cnn,FashionMNIST,5,42,relu1,5.175413286569345,0.5241052202224732,0.36322874989509585,0.814,0.8715,-0.05750000000000011
1,cnn,FashionMNIST,5,42,relu2,5.625244326312515,0.5241052202224732,0.36322874989509585,0.814,0.8715,-0.05750000000000011
1,cnn,FashionMNIST,5,42,relu3,5.492259176680765,0.5241052202224732,0.36322874989509585,0.814,0.8715,-0.05750000000000011
2,cnn,FashionMNIST,5,42,relu1,5.265261802825426,0.33797714020729064,0.306153325343132,0.8787,0.8857,-0.007000000000000006
2,cnn,FashionMNIST,5,42,relu2,4.68537871301033,0.33797714020729064,0.306153325343132,0.8787,0.8857,-0.007000000000000006
2,cnn,FashionMNIST,5,42,relu3,5.113913980649616,0.33797714020729064,0.306153325343132,0.8787,0.8857,-0.007000000000000006
3,cnn,FashionMNIST,5,42,relu1,5.175128549671382,0.29239996419906616,0.29121702768802643,0.89422,0.8927,0.0015199999999999658
3,cnn,FashionMNIST,5,42,relu2,4.174412500733975,0.29239996419906616,0.29121702768802643,0.89422,0.8927,0.0015199999999999658
3,cnn,FashionMNIST,5,42,relu3,4.828638559797886,0.29239996419906616,0.29121702768802643,0.89422,0.8927,0.0015199999999999658
4,cnn,FashionMNIST,5,42,relu1,5.122589416314734,0.261550399312973,0.2770399293065071,0.9055,0.8941,0.011399999999999966
4,cnn,FashionMNIST,5,42,relu2,4.156883990416893,0.261550399312973,0.2770399293065071,0.9055,0.8941,0.011399999999999966
4,cnn,FashionMNIST,5,42,relu3,4.75889473602585,0.261550399312973,0.2770399293065071,0.9055,0.8941,0.011399999999999966
5,cnn,FashionMNIST,5,42,relu1,5.000996866881932,0.23797662757873536,0.25341817417144774,0.91342,0.9046,0.00882000000000005
5,cnn,FashionMNIST,5,42,relu2,3.9304973033479604,0.23797662757873536,0.25341817417144774,0.91342,0.9046,0.00882000000000005
5,cnn,FashionMNIST,5,42,relu3,4.722007761074095,0.23797662757873536,0.25341817417144774,0.91342,0.9046,0.00882000000000005
6,cnn,FashionMNIST,5,42,relu1,4.8071924876006085,0.2220722822713852,0.2539211844801903,0.91902,0.9041,0.014919999999999933
6,cnn,FashionMNIST,5,42,relu2,3.483117477447809,0.2220722822713852,0.2539211844801903,0.91902,0.9041,0.014919999999999933
6,cnn,FashionMNIST,5,42,relu3,4.485937954263223,0.2220722822713852,0.2539211844801903,0.91902,0.9041,0.014919999999999933
7,cnn,FashionMNIST,5,42,relu1,4.759157575307208,0.20557917504310608,0.243567729139328,0.92536,0.9077,0.01766000000000001
7,cnn,FashionMNIST,5,42,relu2,3.5128988703666892,0.20557917504310608,0.243567729139328,0.92536,0.9077,0.01766000000000001
7,cnn,FashionMNIST,5,42,relu3,4.485607527835317,0.20557917504310608,0.243567729139328,0.92536,0.9077,0.01766000000000001
8,cnn,FashionMNIST,5,42,relu1,4.784362131961125,0.1876804266500473,0.23772017357349395,0.93118,0.9147,0.01648000000000005
8,cnn,FashionMNIST,5,42,relu2,3.518588551523761,0.1876804266500473,0.23772017357349395,0.93118,0.9147,0.01648000000000005
8,cnn,FashionMNIST,5,42,relu3,4.389906047604173,0.1876804266500473,0.23772017357349395,0.93118,0.9147,0.01648000000000005
9,cnn,FashionMNIST,5,42,relu1,4.85657998563581,0.17291242221355438,0.2303516678452492,0.9371,0.9147,0.022400000000000087
9,cnn,FashionMNIST,5,42,relu2,3.4798517943547678,0.17291242221355438,0.2303516678452492,0.9371,0.9147,0.022400000000000087
9,cnn,FashionMNIST,5,42,relu3,4.422746568475095,0.17291242221355438,0.2303516678452492,0.9371,0.9147,0.022400000000000087
10,cnn,FashionMNIST,5,42,relu1,4.6355345142821545,0.1624896329832077,0.24631692004203795,0.94006,0.9108,0.029259999999999953
10,cnn,FashionMNIST,5,42,relu2,3.3647132014198355,0.1624896329832077,0.24631692004203795,0.94006,0.9108,0.029259999999999953
10,cnn,FashionMNIST,5,42,relu3,4.408750200197595,0.1624896329832077,0.24631692004203795,0.94006,0.9108,0.029259999999999953
11,cnn,FashionMNIST,5,42,relu1,4.723457162277652,0.14949845263957978,0.23912225103378296,0.946,0.9129,0.03309999999999991
11,cnn,FashionMNIST,5,42,relu2,3.2660141265470055,0.14949845263957978,0.23912225103378296,0.946,0.9129,0.03309999999999991
11,cnn,FashionMNIST,5,42,relu3,4.3447473149508795,0.14949845263957978,0.23912225103378296,0.946,0.9129,0.03309999999999991
12,cnn,FashionMNIST,5,42,relu1,4.708220530306933,0.13795064881801605,0.23572703015804292,0.94994,0.9159,0.03403999999999996
12,cnn,FashionMNIST,5,42,relu2,3.2132809284766024,0.13795064881801605,0.23572703015804292,0.94994,0.9159,0.03403999999999996
12,cnn,FashionMNIST,5,42,relu3,4.281392336588602,0.13795064881801605,0.23572703015804292,0.94994,0.9159,0.03403999999999996
13,cnn,FashionMNIST,5,42,relu1,4.627566385806084,0.12399334207057953,0.24086216371059418,0.9548,0.9161,0.03869999999999996
13,cnn,FashionMNIST,5,42,relu2,3.29380895070598,0.12399334207057953,0.24086216371059418,0.9548,0.9161,0.03869999999999996
13,cnn,FashionMNIST,5,42,relu3,4.150303158363122,0.12399334207057953,0.24086216371059418,0.9548,0.9161,0.03869999999999996
14,cnn,FashionMNIST,5,42,relu1,4.473696563247728,0.11801519370138645,0.25691362681984903,0.95646,0.9124,0.04405999999999999
14,cnn,FashionMNIST,5,42,relu2,2.9591320754439527,0.11801519370138645,0.25691362681984903,0.95646,0.9124,0.04405999999999999
14,cnn,FashionMNIST,5,42,relu3,4.103846172728791,0.11801519370138645,0.25691362681984903,0.95646,0.9124,0.04405999999999999
15,cnn,FashionMNIST,5,42,relu1,4.510343887270329,0.10493527769565582,0.2596952013850212,0.96256,0.9149,0.047659999999999925
15,cnn,FashionMNIST,5,42,relu2,2.9443053073104752,0.10493527769565582,0.2596952013850212,0.96256,0.9149,0.047659999999999925
