epoch,model,dataset,seed,split_seed,layer,activation_entropy,train_loss,val_loss,train_accuracy,val_accuracy,val_generalization_gap
1,mlp,FashionMNIST,2,42,relu1,5.312858695725381,0.5344419760990143,0.4308437222480774,0.80768,0.8429,-0.03522000000000003
1,mlp,FashionMNIST,2,42,relu2,5.336168478645165,0.5344419760990143,0.4308437222480774,0.80768,0.8429,-0.03522000000000003
2,mlp,FashionMNIST,2,42,relu1,4.777651260621323,0.38479216039657593,0.3737272022485733,0.861,0.8629,-0.0019000000000000128
2,mlp,FashionMNIST,2,42,relu2,5.060499142468049,0.38479216039657593,0.3737272022485733,0.861,0.8629,-0.0019000000000000128
3,mlp,FashionMNIST,2,42,relu1,4.400057589419424,0.34385226298332217,0.3450859786272049,0.87362,0.8732,0.00041999999999997595
3,mlp,FashionMNIST,2,42,relu2,4.821479941076008,0.34385226298332217,0.3450859786272049,0.87362,0.8732,0.00041999999999997595
4,mlp,FashionMNIST,2,42,relu1,4.200623618212328,0.3206980806684494,0.3221928639650345,0.88116,0.88,0.0011600000000000499
4,mlp,FashionMNIST,2,42,relu2,4.763534953975137,0.3206980806684494,0.3221928639650345,0.88116,0.88,0.0011600000000000499
5,mlp,FashionMNIST,2,42,relu1,4.039372118414015,0.2972348241329193,0.3199756343245506,0.8903,0.8829,0.007399999999999962
5,mlp,FashionMNIST,2,42,relu2,4.665955485293141,0.2972348241329193,0.3199756343245506,0.8903,0.8829,0.007399999999999962
6,mlp,FashionMNIST,2,42,relu1,3.8483968485987594,0.28176721479415895,0.31594990298748016,0.8967,0.8812,0.01550000000000007
6,mlp,FashionMNIST,2,42,relu2,4.56942592128459,0.28176721479415895,0.31594990298748016,0.8967,0.8812,0.01550000000000007
7,mlp,FashionMNIST,2,42,relu1,3.6936935026171405,0.26505947543144226,0.3132266148328781,0.90212,0.8839,0.018220000000000014
7,mlp,FashionMNIST,2,42,relu2,4.533601061711491,0.26505947543144226,0.3132266148328781,0.90212,0.8839,0.018220000000000014
8,mlp,FashionMNIST,2,42,relu1,3.4652928329825765,0.25429747653484347,0.31672226140499116,0.90618,0.8846,0.021579999999999933
8,mlp,FashionMNIST,2,42,relu2,4.360566663295108,0.25429747653484347,0.31672226140499116,0.90618,0.8846,0.021579999999999933
9,mlp,FashionMNIST,2,42,relu1,3.527511805062527,0.23980078469276428,0.31514019314050673,0.90992,0.8867,0.023219999999999907
9,mlp,FashionMNIST,2,42,relu2,4.439632266774692,0.23980078469276428,0.31514019314050673,0.90992,0.8867,0.023219999999999907
10,mlp,FashionMNIST,2,42,relu1,3.452180930510741,0.22663235238075255,0.3108294397830963,0.91538,0.8867,0.028679999999999928
10,mlp,FashionMNIST,2,42,relu2,4.251360302656387,0.22663235238075255,0.3108294397830963,0.91538,0.8867,0.028679999999999928
11,mlp,FashionMNIST,2,42,relu1,3.3800471484396413,0.21719454630851745,0.31594958770275117,0.91894,0.8867,0.032239999999999935
11,mlp,FashionMNIST,2,42,relu2,4.343836887480991,0.21719454630851745,0.31594958770275117,0.91894,0.8867,0.032239999999999935
12,mlp,FashionMNIST,2,42,relu1,3.2918826918066433,0.20712585070610046,0.3092140919446945,0.92284,0.8904,0.032440000000000024
12,mlp,FashionMNIST,2,42,relu2,4.256598026431312,0.20712585070610046,0.3092140919446945,0.92284,0.8904,0.032440000000000024
13,mlp,FashionMNIST,2,42,relu1,3.1564299070747377,0.19827361746788025,0.3004146466255188,0.92612,0.8964,0.02972000000000008
13,mlp,FashionMNIST,2,42,relu2,4.108671935480954,0.19827361746788025,0.3004146466255188,0.92612,0.8964,0.02972000000000008
14,mlp,FashionMNIST,2,42,relu1,3.1245804384149896,0.1892081952047348,0.3203315052986145,0.92982,0.8899,0.039919999999999956
14,mlp,FashionMNIST,2,42,relu2,4.334256476401594,0.1892081952047348,0.3203315052986145,0.92982,0.8899,0.039919999999999956
15,mlp,FashionMNIST,2,42,relu1,3.088366923677469,0.1812606524372101,0.3015371679544449,0.93158,0.8962,0.03537999999999997
15,mlp,FashionMNIST,2,42,relu2,4.277487002025186,0.1812606524372101,0.3015371679544449,0.93158,0.8962,0.03537999999999997
16,mlp,FashionMNIST,2,42,relu1,3.040550911563321,0.17144567213535308,0.3167399328947067,0.9357,0.892,0.04369999999999996
16,mlp,FashionMNIST,2,42,relu2,4.20276779220208,0.17144567213535308,0.3167399328947067,0.9357,0.892,0.04369999999999996
17,mlp,FashionMNIST,2,42,relu1,2.9313003914795046,0.16403640131950378,0.3105342896461487,0.93958,0.8947,0.04487999999999992
17,mlp,FashionMNIST,2,42,relu2,4.074129906107933,0.16403640131950378,0.3105342896461487,0.93958,0.8947,0.04487999999999992
18,mlp,FashionMNIST,2,42,relu1,3.04427825698678,0.15679181924343108,0.31478939402103423,0.94124,0.8989,0.04233999999999993
18,mlp,FashionMNIST,2,42,relu2,4.0485476941139265,0.15679181924343108,0.31478939402103423,0.94124,0.8989,0.04233999999999993
19,mlp,FashionMNIST,2,42,relu1,2.92532719273487,0.15186762897729875,0.34842419084310533,0.9419,0.8872,0.05469999999999997
19,mlp,FashionMNIST,2,42,relu2,4.096678295315402,0.15186762897729875,0.34842419084310533,0.9419,0.8872,0.05469999999999997
20,mlp,FashionMNIST,2,42,relu1,2.91961226473739,0.14423519065856932,0.3645761558055878,0.94546,0.8843,0.06115999999999999
20,mlp,FashionMNIST,2,42,relu2,4.0228382868549035,0.14423519065856932,0.3645761558055878,0.94546,0.8843,0.06115999999999999
21,mlp,FashionMNIST,2,42,relu1,2.9156728596935944,0.13570203199386596,0.3536534056186676,0.94886,0.8967,0.052159999999999984
21,mlp,FashionMNIST,2,42,relu2,4.094307659854084,0.13570203199386596,0.3536534056186676,0.94886,0.8967,0.052159999999999984
22,mlp,FashionMNIST,2,42,relu1,2.8076934842937264,0.13232385712623596,0.37040580868721007,0.95012,0.8902,0.05991999999999997
22,mlp,FashionMNIST,2,42,relu2,3.966859066265893,0.13232385712623596,0.37040580868721007,0.95012,0.8902,0.05991999999999997
23,mlp,FashionMNIST,2,42,relu1,2.815193493101624,0.1232424370098114,0.3571438399076462,0.95368,0.8925,0.06118000000000001
23,mlp,FashionMNIST,2,42,relu2,4.106007803869575,0.1232424370098114,0.3571438399076462,0.95368,0.8925,0.06118000000000001
24,mlp,FashionMNIST,2,42,relu1,2.82872489303618,0.12015145352840424,0.36491730012893675,0.9551,0.8994,0.05569999999999997
24,mlp,FashionMNIST,2,42,relu2,4.0705313746320995,0.12015145352840424,0.36491730012893675,0.9551,0.8994,0.05569999999999997
25,mlp,FashionMNIST,2,42,relu1,2.8820733987126026,0.11436610093355179,0.3787194717168808,0.95708,0.8981,0.05898000000000003
25,mlp,FashionMNIST,2,42,relu2,4.097251352612993,0.11436610093355179,0.3787194717168808,0.95708,0.8981,0.05898000000000003
26,mlp,FashionMNIST,2,42,relu1,2.8256146182793542,0.11159720996379853,0.40418912200927737,0.95736,0.8893,0.06806000000000001
26,mlp,FashionMNIST,2,42,relu2,3.905552321488901,0.11159720996379853,0.40418912200927737,0.95736,0.8893,0.06806000000000001
27,mlp,FashionMNIST,2,42,relu1,2.7448519110739418,0.10449885121107101,0.40406458597183226,0.96132,0.8947,0.0666199999999999
27,mlp,FashionMNIST,2,42,relu2,3.9476697592395373,0.10449885121107101,0.40406458597183226,0.96132,0.8947,0.0666199999999999
28,mlp,FashionMNIST,2,42,relu1,2.767941682370444,0.10012574688911438,0.392580755841732,0.9625,0.894,0.0685
28,mlp,FashionMNIST,2,42,relu2,3.875222582554054,0.10012574688911438,0.392580755841732,0.9625,0.894,0.0685
29,mlp,FashionMNIST,2,42,relu1,2.767189618848999,0.09431942775249481,0.41658666217327117,0.96456,0.8933,0.07125999999999999
29,mlp,FashionMNIST,2,42,relu2,3.967942439638293,0.09431942775249481,0.41658666217327117,0.96456,0.8933,0.07125999999999999
30,mlp,FashionMNIST,2,42,relu1,2.7184903523794275,0.09194929928660393,0.4432432943820953,0.9656,0.8887,0.07689999999999997
30,mlp,FashionMNIST,2,42,relu2,3.869442410008117,0.09194929928660393,0.4432432943820953,0.9656,0.8887,0.07689999999999997
