epoch,model,dataset,seed,split_seed,layer,activation_entropy,train_loss,val_loss,train_accuracy,val_accuracy,val_generalization_gap,source_file
11,cnn,FashionMNIST,1,42,relu1,5.204990607259644,0.1572685356688499,0.2438324334621429,0.94206,0.911,0.0310599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
11,cnn,FashionMNIST,1,42,relu2,3.481292266233673,0.1572685356688499,0.2438324334621429,0.94206,0.911,0.0310599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
11,cnn,FashionMNIST,1,42,relu3,4.080700400313336,0.1572685356688499,0.2438324334621429,0.94206,0.911,0.0310599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
12,cnn,FashionMNIST,1,42,relu1,5.148722826471914,0.1426597235393524,0.2317890727400779,0.9471,0.9167,0.0304,cnn_FashionMNIST_seed1_entropy_history.csv
12,cnn,FashionMNIST,1,42,relu2,3.281057716245785,0.1426597235393524,0.2317890727400779,0.9471,0.9167,0.0304,cnn_FashionMNIST_seed1_entropy_history.csv
12,cnn,FashionMNIST,1,42,relu3,3.794532383321908,0.1426597235393524,0.2317890727400779,0.9471,0.9167,0.0304,cnn_FashionMNIST_seed1_entropy_history.csv
13,cnn,FashionMNIST,1,42,relu1,4.933648826216878,0.1315137184286117,0.2386179903268814,0.95164,0.9189,0.0327399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
13,cnn,FashionMNIST,1,42,relu2,3.2813892909218487,0.1315137184286117,0.2386179903268814,0.95164,0.9189,0.0327399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
13,cnn,FashionMNIST,1,42,relu3,3.895823407026968,0.1315137184286117,0.2386179903268814,0.95164,0.9189,0.0327399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
14,cnn,FashionMNIST,1,42,relu1,5.023828954936661,0.1208637749719619,0.238221091890335,0.95528,0.9153,0.03998,cnn_FashionMNIST_seed1_entropy_history.csv
14,cnn,FashionMNIST,1,42,relu2,3.132388271931298,0.1208637749719619,0.238221091890335,0.95528,0.9153,0.03998,cnn_FashionMNIST_seed1_entropy_history.csv
14,cnn,FashionMNIST,1,42,relu3,3.799294403663701,0.1208637749719619,0.238221091890335,0.95528,0.9153,0.03998,cnn_FashionMNIST_seed1_entropy_history.csv
15,cnn,FashionMNIST,1,42,relu1,5.036820478766555,0.1095196640801429,0.2542626712799072,0.95978,0.9106,0.04918,cnn_FashionMNIST_seed1_entropy_history.csv
15,cnn,FashionMNIST,1,42,relu2,3.040102462799535,0.1095196640801429,0.2542626712799072,0.95978,0.9106,0.04918,cnn_FashionMNIST_seed1_entropy_history.csv
15,cnn,FashionMNIST,1,42,relu3,3.7714820979811954,0.1095196640801429,0.2542626712799072,0.95978,0.9106,0.04918,cnn_FashionMNIST_seed1_entropy_history.csv
16,cnn,FashionMNIST,1,42,relu1,4.907999061526004,0.1007451579666137,0.2560030944705009,0.96346,0.9151,0.0483599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
16,cnn,FashionMNIST,1,42,relu2,2.9657545206925664,0.1007451579666137,0.2560030944705009,0.96346,0.9151,0.0483599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
16,cnn,FashionMNIST,1,42,relu3,3.819215576567725,0.1007451579666137,0.2560030944705009,0.96346,0.9151,0.0483599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
17,cnn,FashionMNIST,1,42,relu1,4.789472803522613,0.0892152373838424,0.2628816682338714,0.96724,0.9129,0.0543399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
17,cnn,FashionMNIST,1,42,relu2,3.0801427088194053,0.0892152373838424,0.2628816682338714,0.96724,0.9129,0.0543399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
17,cnn,FashionMNIST,1,42,relu3,3.6766368482431577,0.0892152373838424,0.2628816682338714,0.96724,0.9129,0.0543399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
18,cnn,FashionMNIST,1,42,relu1,4.903837832087429,0.0820927815985679,0.2862160643100738,0.97016,0.9122,0.05796,cnn_FashionMNIST_seed1_entropy_history.csv
18,cnn,FashionMNIST,1,42,relu2,3.019449185682861,0.0820927815985679,0.2862160643100738,0.97016,0.9122,0.05796,cnn_FashionMNIST_seed1_entropy_history.csv
18,cnn,FashionMNIST,1,42,relu3,3.77243972513367,0.0820927815985679,0.2862160643100738,0.97016,0.9122,0.05796,cnn_FashionMNIST_seed1_entropy_history.csv
