model,dataset,epoch,layer,activation_entropy_mean,activation_entropy_std,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,train_accuracy_mean,train_accuracy_std,val_accuracy_mean,val_accuracy_std,val_generalization_gap_mean,val_generalization_gap_std,n_seeds
cnn,FashionMNIST,1,relu1,5.476440572233377,0.28434430130646515,0.5574329218711853,0.019112182591082754,0.3824530529499054,0.013046985570072233,0.8024519999999999,0.0066675122797037354,0.86274,0.005609634569203221,-0.06028799999999999,0.0022108640844700827,5
cnn,FashionMNIST,1,relu2,5.809284740370474,0.15790661617878296,0.5574329218711853,0.019112182591082754,0.3824530529499054,0.013046985570072233,0.8024519999999999,0.0066675122797037354,0.86274,0.005609634569203221,-0.06028799999999999,0.0022108640844700827,5
cnn,FashionMNIST,1,relu3,5.044579554115329,0.3590593335320673,0.5574329218711853,0.019112182591082754,0.3824530529499054,0.013046985570072233,0.8024519999999999,0.0066675122797037354,0.86274,0.005609634569203221,-0.06028799999999999,0.0022108640844700827,5
cnn,FashionMNIST,2,relu1,5.562645450214426,0.22946921929722044,0.3517135881757736,0.008672435814149913,0.3233221257686615,0.00986115269834158,0.8740600000000001,0.003208769234457341,0.88072,0.0032383637843824763,-0.00665999999999998,0.002513801901502961,5
cnn,FashionMNIST,2,relu2,4.993941826804533,0.31520599905946967,0.3517135881757736,0.008672435814149913,0.3233221257686615,0.00986115269834158,0.8740600000000001,0.003208769234457341,0.88072,0.0032383637843824763,-0.00665999999999998,0.002513801901502961,5
cnn,FashionMNIST,2,relu3,4.661881609094294,0.30192665349468933,0.3517135881757736,0.008672435814149913,0.3233221257686615,0.00986115269834158,0.8740600000000001,0.003208769234457341,0.88072,0.0032383637843824763,-0.00665999999999998,0.002513801901502961,5
cnn,FashionMNIST,3,relu1,5.485803360410454,0.23225435464140187,0.30315819605731964,0.008195505803947413,0.2934538327693939,0.006494932147553256,0.891028,0.003353404240469664,0.8913800000000001,0.0030078231330981026,-0.0003519999999999801,0.002758789589656981,5
cnn,FashionMNIST,3,relu2,4.738099229831371,0.3570959917475242,0.30315819605731964,0.008195505803947413,0.2934538327693939,0.006494932147553256,0.891028,0.003353404240469664,0.8913800000000001,0.0030078231330981026,-0.0003519999999999801,0.002758789589656981,5
cnn,FashionMNIST,3,relu3,4.5531292864812185,0.25557890022174856,0.30315819605731964,0.008195505803947413,0.2934538327693939,0.006494932147553256,0.891028,0.003353404240469664,0.8913800000000001,0.0030078231330981026,-0.0003519999999999801,0.002758789589656981,5
cnn,FashionMNIST,4,relu1,5.453276597746845,0.19304018987327565,0.27264809049797056,0.007721385919967972,0.2810079213762283,0.0063428159457834385,0.9013479999999999,0.003057927402669983,0.8956200000000001,0.003073597241019065,0.00572799999999996,0.0035823623490651704,5
cnn,FashionMNIST,4,relu2,4.496700101826223,0.24556277044779007,0.27264809049797056,0.007721385919967972,0.2810079213762283,0.0063428159457834385,0.9013479999999999,0.003057927402669983,0.8956200000000001,0.003073597241019065,0.00572799999999996,0.0035823623490651704,5
cnn,FashionMNIST,4,relu3,4.3866253237745685,0.2798546954120776,0.27264809049797056,0.007721385919967972,0.2810079213762283,0.0063428159457834385,0.9013479999999999,0.003057927402669983,0.8956200000000001,0.003073597241019065,0.00572799999999996,0.0035823623490651704,5
cnn,FashionMNIST,5,relu1,5.416293079867811,0.2463975686931682,0.24898631909561156,0.00854465482390825,0.2638935355997085,0.014840458534015773,0.910092,0.0030865709128416077,0.9031399999999999,0.005243376774560405,0.006951999999999981,0.005654919981750333,5
cnn,FashionMNIST,5,relu2,4.187516591058551,0.21627223871874363,0.24898631909561156,0.00854465482390825,0.2638935355997085,0.014840458534015773,0.910092,0.0030865709128416077,0.9031399999999999,0.005243376774560405,0.006951999999999981,0.005654919981750333,5
cnn,FashionMNIST,5,relu3,4.276450946538121,0.3293025320285805,0.24898631909561156,0.00854465482390825,0.2638935355997085,0.014840458534015773,0.910092,0.0030865709128416077,0.9031399999999999,0.005243376774560405,0.006951999999999981,0.005654919981750333,5
cnn,FashionMNIST,6,relu1,5.3352839432138275,0.33194603700029496,0.22987506423854825,0.007120613277180975,0.25264631448507313,0.0022381321674550415,0.9161199999999999,0.002617441498868688,0.90608,0.001688786546606721,0.010039999999999941,0.002859895102971401,5
