model,dataset,layer,final_entropy_mean,final_entropy_std,final_train_accuracy_mean,final_train_accuracy_std,final_val_accuracy_mean,final_val_accuracy_std,final_val_gap_mean,final_val_gap_std,n_seeds,initial_entropy_mean,initial_entropy_std,entropy_change_mean
cnn,FashionMNIST,relu1,4.798516115554757,0.19765181460060305,0.991068,0.0024263388056905517,0.9132199999999999,0.0034744783781166526,0.07784799999999995,0.0027427212763968434,5,5.476440572233377,0.28434430130646515,-0.6779244566786202
cnn,FashionMNIST,relu2,2.7061825947955205,0.06806860074270206,0.991068,0.0024263388056905517,0.9132199999999999,0.0034744783781166526,0.07784799999999995,0.0027427212763968434,5,5.809284740370474,0.15790661617878296,-3.1031021455749537
cnn,FashionMNIST,relu3,3.6292600036282785,0.23526470587198514,0.991068,0.0024263388056905517,0.9132199999999999,0.0034744783781166526,0.07784799999999995,0.0027427212763968434,5,5.044579554115329,0.3590593335320673,-1.4153195504870508
mlp,FashionMNIST,relu1,2.794096672329049,0.095397828383317,0.965312,0.0003935987804859135,0.88918,0.0022753021777337772,0.07613199999999998,0.0021543722983737483,5,5.317732603927942,0.1334414814162485,-2.5236359315988928
mlp,FashionMNIST,relu2,3.816848805728796,0.1182861264413946,0.965312,0.0003935987804859135,0.88918,0.0022753021777337772,0.07613199999999998,0.0021543722983737483,5,5.130299893599493,0.1288543356692806,-1.313451087870697
