model,dataset,epoch,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,train_accuracy_mean,train_accuracy_std,val_accuracy_mean,val_accuracy_std,val_generalization_gap_mean,val_generalization_gap_std,n_seeds
cnn,FashionMNIST,30,0.026060975428909,0.006059821656517648,0.4294271350383759,0.01428077550460141,0.991068,0.0024263388056905517,0.9132199999999999,0.0034744783781166526,0.07784799999999995,0.0027427212763968434,5
mlp,FashionMNIST,1,0.5412225431289672,0.004542856787712537,0.41964795763015744,0.008021396715204607,0.805604,0.0018472899068635298,0.8462400000000001,0.005273329119256642,-0.040635999999999964,0.005619063978991527,5
mlp,FashionMNIST,2,0.3870213674755096,0.002657340399559589,0.3761512877321243,0.01115296977355909,0.859356,0.0015563675658404115,0.8591200000000001,0.004353963711378396,0.00023600000000001989,0.003558803169606298,5
mlp,FashionMNIST,3,0.34418414668846126,0.0013864888150729607,0.3495378130292892,0.006046824349575711,0.873508,0.0006929069201559273,0.86948,0.003902178878524142,0.00402799999999994,0.0033524200214173957,5
mlp,FashionMNIST,4,0.3203463562822342,0.002042008709975595,0.3331053878355026,0.008687200506224601,0.881808,0.0012440739527857542,0.8760999999999999,0.004085339643163093,0.00570799999999996,0.003618524561198935,5
mlp,FashionMNIST,5,0.29728491515731814,0.001024310617030891,0.3261146917033195,0.012365132953103231,0.890136,0.0007041874750377255,0.8786200000000001,0.0036106786065780118,0.01151599999999994,0.003893286529399054,5
mlp,FashionMNIST,6,0.2811571947975159,0.0016877262826095656,0.3218420172691345,0.0069420904502240895,0.895884,0.0011203035302988088,0.8798400000000001,0.0028254203227130385,0.016044,0.0035940895926506893,5
mlp,FashionMNIST,7,0.2667438978147506,0.0013232747968206435,0.3194954645729065,0.013892538242545641,0.9007999999999999,0.001190546093185814,0.8818199999999999,0.005149465991731567,0.01897999999999998,0.004275675385246205,5
mlp,FashionMNIST,8,0.253375885228157,0.002021927163117637,0.3130516314268112,0.007496309942408814,0.905824,0.0010458871832086142,0.8835599999999999,0.002350106380570893,0.02226399999999994,0.0029940741473784625,5
mlp,FashionMNIST,9,0.24024632584190364,0.0032903887230862146,0.31559155389308924,0.017169811007691896,0.910308,0.001608203967163368,0.8853200000000001,0.006636414694697737,0.02498799999999994,0.0052617221515394,5
mlp,FashionMNIST,10,0.23077473441886895,0.003487104151695936,0.3115139179372787,0.014182674279482057,0.91346,0.0012717704195333232,0.8881399999999999,0.003578128002182162,0.02531999999999996,0.0044035667361810036,5
mlp,FashionMNIST,11,0.21895757112693787,0.0020217339535925907,0.3163365261983871,0.009144214070343932,0.9183,0.0015907231060118784,0.88648,0.003204215972745884,0.03181999999999992,0.0019847921805569197,5
mlp,FashionMNIST,12,0.20947663296747204,0.0019259090571364164,0.30653639196872706,0.007312556940094359,0.9211280000000001,0.001517669265683417,0.8899800000000001,0.0029089517012146956,0.031147999999999943,0.0033191745961910477,5
mlp,FashionMNIST,13,0.19948366754674907,0.00239476560448104,0.3174464219379425,0.015050747147462363,0.9249320000000001,0.0010931239636930497,0.88942,0.005394626956518862,0.03551199999999994,0.005529242262733639,5
mlp,FashionMNIST,14,0.1902842413666248,0.0027295341612548225,0.3210318479967117,0.019949124007810213,0.928708,0.0014561318621608345,0.88948,0.003300303016391069,0.039227999999999943,0.004361985786313406,5
mlp,FashionMNIST,15,0.18282413238477704,0.0024502570207937764,0.3131097160243988,0.01326725482647168,0.931048,0.001179457502413677,0.89244,0.004655426940679055,0.03860799999999994,0.0037090322187870507,5
mlp,FashionMNIST,16,0.17536989732265468,0.002992575664570464,0.3222755869078636,0.009171362624863367,0.934132,0.0010354322768775957,0.8918800000000001,0.0029132456127144305,0.04225199999999996,0.0025642776760717648,5
mlp,FashionMNIST,17,0.1660299497995376,0.002140690673881069,0.32741954864501954,0.013368227555351787,0.9379519999999999,0.001115939066436786,0.89192,0.0036724651121555637,0.04603199999999994,0.0035317021391957464,5
mlp,FashionMNIST,18,0.15890144936227793,0.002652892190107784,0.3380515550112724,0.018344693988554796,0.940504,0.001216092101775203,0.8927400000000001,0.0044769409198692645,0.04776399999999992,0.0041509372435631926,5
mlp,FashionMNIST,19,0.1537833443279266,0.0018248069327665088,0.3397112016165256,0.006397486236143714,0.941872,0.000775963916686833,0.8901600000000001,0.004208681503749124,0.05171199999999994,0.004271290203205616,5
mlp,FashionMNIST,20,0.14645546061038967,0.002192705593475172,0.3546430818891525,0.008609549675037057,0.9445399999999999,0.0010763828315241573,0.88704,0.002320129306741326,0.05749999999999996,0.0029066475534539568,5
mlp,FashionMNIST,21,0.13838905787658687,0.0024376599000140034,0.35366357792377473,0.006069186739051742,0.9477360000000001,0.0010641804358284357,0.8927799999999999,0.0027096125184240018,0.05495599999999996,0.002048091794817804,5
mlp,FashionMNIST,22,0.13307973407173151,0.0027673991523705795,0.36613625670313826,0.010729180963051756,0.9499040000000001,0.0011919228162930904,0.89158,0.0022487774456357535,0.05832399999999995,0.0021719760587999132,5
mlp,FashionMNIST,23,0.12503428874874112,0.0020828087014864876,0.37685027436017987,0.031955062107382456,0.9524279999999999,0.0011268185301990604,0.8889799999999999,0.004389988610463591,0.06344799999999996,0.004687570799465343,5
mlp,FashionMNIST,24,0.12058110408258434,0.003130833331973141,0.37081684753179545,0.018774747575672966,0.95462,0.001237578280352391,0.89394,0.005332729132442424,0.06067999999999998,0.004442589335061281,5
mlp,FashionMNIST,25,0.11651075694465632,0.003003623494860299,0.37866932656288144,0.01414484331377185,0.9560000000000001,0.0011235657524150385,0.89502,0.0027197426348829503,0.060979999999999944,0.0023877604569973155,5
mlp,FashionMNIST,26,0.1128659665956497,0.0028658759948116987,0.3790732755875587,0.01578277264467904,0.9575720000000001,0.0009818961248522886,0.8934599999999999,0.0024110163831877977,0.064112,0.0022849332594191887,5
mlp,FashionMNIST,27,0.10467462684679027,0.00289853654930435,0.39689106911897654,0.015176935390522284,0.9604480000000001,0.0013247339355508252,0.89344,0.0028892905703649606,0.06700799999999996,0.00179073169402898,5
mlp,FashionMNIST,28,0.1016970427346229,0.0033430472473795244,0.39615007692098614,0.015195359549429091,0.961756,0.0011821505826247341,0.89438,0.0019677398201998035,0.06737599999999996,0.002566063132504696,5
mlp,FashionMNIST,29,0.0975100158653259,0.004107467711728071,0.4243274086308479,0.017418163620756832,0.9631679999999999,0.0018055802391475147,0.8916599999999999,0.002298477757125341,0.07150799999999996,0.0010350458927023836,5
mlp,FashionMNIST,30,0.0923869908406734,0.0014642231940940427,0.4360107666182517,0.012343974848015396,0.965312,0.0003935987804859135,0.88918,0.0022753021777337772,0.07613199999999998,0.0021543722983737483,5
