model,dataset,layer,initial_entropy_mean,initial_entropy_std,final_entropy_mean,final_entropy_std,entropy_change_mean,entropy_change_std,peak_entropy_mean,peak_entropy_std,peak_epoch_mean,minimum_entropy_mean,minimum_entropy_std,minimum_epoch_mean,n_seeds
cnn,FashionMNIST,relu1,5.476440572233377,0.28434430130646515,4.798516115554757,0.19765181460060305,-0.6779244566786204,0.19917604191306834,5.582351439938018,0.22698098773727132,3.2,4.793056945230525,0.2012561819901011,28.2,5
cnn,FashionMNIST,relu2,5.809284740370474,0.15790661617878296,2.7061825947955205,0.06806860074270206,-3.1031021455749523,0.14146828463195896,5.809284740370474,0.15790661617878296,1.0,2.616429303345559,0.07837967484646205,27.4,5
cnn,FashionMNIST,relu3,5.044579554115329,0.3590593335320673,3.6292600036282785,0.23526470587198514,-1.4153195504870506,0.15775479544944437,5.044579554115329,0.3590593335320673,1.0,3.5899811419390097,0.22188658399059472,28.0,5
mlp,FashionMNIST,relu1,5.317732603927942,0.1334414814162485,2.794096672329049,0.095397828383317,-2.5236359315988928,0.11448037735825922,5.317732603927942,0.1334414814162485,1.0,2.7628516974220014,0.09433057049047115,28.0,5
mlp,FashionMNIST,relu2,5.130299893599493,0.1288543356692806,3.816848805728796,0.1182861264413946,-1.3134510878706969,0.12207466519506936,5.130299893599493,0.1288543356692806,1.0,3.7842197013003074,0.1162770251735592,28.6,5
