model,layer,epoch,activation_entropy_mean,activation_entropy_std,n_seeds,series_label
cnn,relu2,1,5.809284740370474,0.15790661617878296,5,CNN relu2 entropy
cnn,relu2,2,4.993941826804533,0.31520599905946967,5,CNN relu2 entropy
cnn,relu2,3,4.738099229831371,0.3570959917475242,5,CNN relu2 entropy
cnn,relu2,4,4.496700101826223,0.24556277044779007,5,CNN relu2 entropy
cnn,relu2,5,4.187516591058551,0.21627223871874363,5,CNN relu2 entropy
cnn,relu2,6,3.9197814886030087,0.28958036176127805,5,CNN relu2 entropy
cnn,relu2,7,3.8785057430363445,0.21627928176612704,5,CNN relu2 entropy
cnn,relu2,8,3.613694679672945,0.1963297128986617,5,CNN relu2 entropy
cnn,relu2,9,3.6952920793656014,0.1770616844334841,5,CNN relu2 entropy
cnn,relu2,10,3.4924756536572836,0.09162969744281056,5,CNN relu2 entropy
cnn,relu2,11,3.3993251954421986,0.22907741551638025,5,CNN relu2 entropy
cnn,relu2,12,3.2746074438097224,0.173863874610925,5,CNN relu2 entropy
cnn,relu2,13,3.2618130718618694,0.060422255818272194,5,CNN relu2 entropy
cnn,relu2,14,3.1378341935569103,0.11028341559947469,5,CNN relu2 entropy
cnn,relu2,15,3.0949532298550877,0.13298851203538342,5,CNN relu2 entropy
cnn,relu2,16,3.0393882342052407,0.14329539962261234,5,CNN relu2 entropy
cnn,relu2,17,2.995046430624365,0.09019346577519066,5,CNN relu2 entropy
cnn,relu2,18,2.9399178561425905,0.0967514984012834,5,CNN relu2 entropy
cnn,relu2,19,2.978887937911499,0.08962139707572864,5,CNN relu2 entropy
cnn,relu2,20,2.867063931993972,0.07825057848767607,5,CNN relu2 entropy
cnn,relu2,21,2.842904513719026,0.0401782627833531,5,CNN relu2 entropy
cnn,relu2,22,2.8231892200816135,0.09183891704407905,5,CNN relu2 entropy
cnn,relu2,23,2.8160598098581815,0.062153016179937653,5,CNN relu2 entropy
cnn,relu2,24,2.7808069832949753,0.046091101259145874,5,CNN relu2 entropy
cnn,relu2,25,2.772929258484092,0.09167307568926719,5,CNN relu2 entropy
cnn,relu2,26,2.6807451840203305,0.07978469260356598,5,CNN relu2 entropy
cnn,relu2,27,2.6531187127260756,0.09290421959557468,5,CNN relu2 entropy
cnn,relu2,28,2.734040147286481,0.06984043751476392,5,CNN relu2 entropy
cnn,relu2,29,2.6476588909867216,0.09983692947423434,5,CNN relu2 entropy
cnn,relu2,30,2.7061825947955205,0.06806860074270206,5,CNN relu2 entropy
mlp,relu1,1,5.317732603927942,0.1334414814162485,5,MLP relu1 entropy
mlp,relu1,2,4.734817466638317,0.1675947878413079,5,MLP relu1 entropy
mlp,relu1,3,4.448283002526492,0.1690628879397914,5,MLP relu1 entropy
mlp,relu1,4,4.169015843479151,0.1169295193700514,5,MLP relu1 entropy
mlp,relu1,5,3.9881375331214266,0.12056493120303309,5,MLP relu1 entropy
mlp,relu1,6,3.833089538782094,0.10049807484162111,5,MLP relu1 entropy
mlp,relu1,7,3.658321859972871,0.11225660828423004,5,MLP relu1 entropy
mlp,relu1,8,3.5233097166012435,0.11601665061412948,5,MLP relu1 entropy
mlp,relu1,9,3.500470678520027,0.1515656791499576,5,MLP relu1 entropy
mlp,relu1,10,3.414840334561397,0.1195250561423791,5,MLP relu1 entropy
mlp,relu1,11,3.321776774705955,0.06354371967388846,5,MLP relu1 entropy
mlp,relu1,12,3.2894496178392196,0.16351965302809446,5,MLP relu1 entropy
mlp,relu1,13,3.165268743983975,0.09316754824448736,5,MLP relu1 entropy
mlp,relu1,14,3.1660650495674196,0.04768627879735875,5,MLP relu1 entropy
mlp,relu1,15,3.128496148708186,0.10003927827196236,5,MLP relu1 entropy
mlp,relu1,16,3.0606316844201116,0.1437111429810371,5,MLP relu1 entropy
mlp,relu1,17,3.016656007340493,0.08591278793416231,5,MLP relu1 entropy
mlp,relu1,18,2.984074976549293,0.07177233422333147,5,MLP relu1 entropy
mlp,relu1,19,2.9448301495852616,0.06816103013656985,5,MLP relu1 entropy
mlp,relu1,20,2.932924745856245,0.0919636175369399,5,MLP relu1 entropy
mlp,relu1,21,2.928887556428184,0.09766107166674355,5,MLP relu1 entropy
mlp,relu1,22,2.9048601697570655,0.0945991891440648,5,MLP relu1 entropy
mlp,relu1,23,2.8948637084325726,0.09938826921721569,5,MLP relu1 entropy
mlp,relu1,24,2.8457446033570784,0.08118206316557154,5,MLP relu1 entropy
mlp,relu1,25,2.862119081663067,0.04957149264204734,5,MLP relu1 entropy
mlp,relu1,26,2.8102792221710358,0.08025670837562758,5,MLP relu1 entropy
mlp,relu1,27,2.812143999440687,0.09133812399654043,5,MLP relu1 entropy
mlp,relu1,28,2.809554087272962,0.1212185314585121,5,MLP relu1 entropy
mlp,relu1,29,2.817172028589404,0.1177454763625489,5,MLP relu1 entropy
mlp,relu1,30,2.794096672329049,0.095397828383317,5,MLP relu1 entropy
