label,model,dataset,layer,initial_entropy_mean,final_entropy_mean,entropy_change_mean,entropy_change_std,peak_entropy_mean,peak_epoch_mean,n_seeds
CNN relu1,cnn,FashionMNIST,relu1,5.476440572233377,4.798516115554757,-0.6779244566786204,0.1991760419130683,5.582351439938018,3.2,5
CNN relu2,cnn,FashionMNIST,relu2,5.809284740370474,2.7061825947955205,-3.1031021455749523,0.1414682846319589,5.809284740370474,1.0,5
CNN relu3,cnn,FashionMNIST,relu3,5.044579554115329,3.6292600036282794,-1.4153195504870506,0.1577547954494443,5.044579554115329,1.0,5
MLP relu1,mlp,FashionMNIST,relu1,5.317732603927942,2.794096672329049,-2.5236359315988928,0.1144803773582592,5.317732603927942,1.0,5
MLP relu2,mlp,FashionMNIST,relu2,5.130299893599493,3.816848805728796,-1.3134510878706969,0.1220746651950693,5.130299893599493,1.0,5
